layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,orig_suggested_alpha_rad,orig_suggested_alpha_deg,residual_gamma,delta_phi_deg,delta_phi_rad,base_k_scale,base_q_scale,final_k_scale,final_q_scale,baseline_logit_mse,baseline_sink_logit_mse,baseline_attention_kl,baseline_margin_mse,baseline_top1_match_rate,baseline_attention_l1,best_logit_mse,best_sink_logit_mse,best_attention_kl,best_margin_mse,best_top1_match_rate,best_attention_l1,qk_loss_score,safe_override,strict_safe_override
1,5,50,100,101,1.126835484670343,0.27835727206958216,0.8166342590923291,0.5431978702545166,2.240190525869309,2.8040947693614866,2.535736038729325,0.7202491681273318,0.40658631654301125,1.1251938805854065,0.2773713690386291,0.8169013894374707,0.5163913369178772,2.2405568809534615,2.840426736929164,2.5742489917292164,0.7186452238387729,0.4065486567466336,0.036331967567677204,0.038512952999891326,compact_cluster,post,post_mean,intermediate,2.840426736929164,162.74446404215726,0.48423224673681897,27.744464042157258,0.3011659166606293,17.255535957842742,2.356194490192345,135.0,-0.4842322467,-27.7444640422,-0.48423224673681897,-27.744464042157258,0.9000000000,0.0000000000,0.0000000000,1.3937626663,0.7174822688,1.2543863997,0.7972025209,15.2764992636,9.5555324241,0.5587662970,2.2516542066,0.5625000000,0.2683597292,15.3056215778,10.0485311382,0.5276946055,1.6517853890,0.6250000000,0.2231837497,5.7374645396,1,1
1,6,42,84,85,0.09302360972505147,0.8778113934196079,0.9958840309914423,0.46925657987594604,4.744221204125904,-0.29799307667622144,2.73287671599053,0.08734039709979925,0.005683212625252216,0.3506333502574819,0.5125946351890793,0.9844857007433204,0.21719253063201904,4.716993033013947,-0.11032839535494354,1.354360209422853,0.26518306225917654,0.08545028799830535,0.1876646813212779,1.378516506567677,elongated,post,post_mean,axis_like,-0.11032839535494354,-6.321351414289021,0.6750697680425047,38.67864858571098,0.11032839535494354,6.321351414289021,-0.7853981633974483,-45.0,-0.6750697680,-38.6786485857,-0.6750697680425047,-38.67864858571098,1.1000000000,0.0000000000,0.0000000000,1.4381366611,0.6953442097,1.5819503272,0.6321310997,13.8218631859,9.2064792738,1.1018375212,4.7051982916,0.6562500000,0.4803773102,13.8264806886,6.7696851631,1.0849561213,4.1993451290,0.6875000000,0.4663630652,5.3428173452,1,1
1,7,41,82,83,0.15704584944842812,0.8451804020728916,0.9945988868699038,0.2891732454299927,5.377687714858494,-0.1679191365564142,2.9096726035300744,0.14488896181498728,0.01215688763344084,0.6564943623009944,0.5709154893552497,0.9774218759405003,0.21379268169403076,5.331048092123988,0.06310941645087763,1.4934728302871887,0.5156485812068001,0.14084578109419438,0.2310285530072918,1.4161997732428857,compact_cluster,post,post_mean,axis_like,0.06310941645087763,3.615903210168775,0.7222887469465706,41.384096789831226,0.06310941645087763,3.615903210168775,0.7853981633974483,45.0,0.6350222843,36.3840967898,0.7222887469465706,41.384096789831226,1.1000000000,-5.0000000000,-0.0872664626,1.1791615038,0.8480602503,1.2970776541,0.7709638639,12.6454913339,14.6349509136,0.7601635767,1.9027697963,0.5000000000,0.3562228029,12.5774377551,14.0567340397,0.7342292863,1.6648815060,0.7187500000,0.3285960391,5.7423441699,1,1
2,4,34,68,69,0.7990558848644985,0.7105092086701867,0.9660275015360076,0.5836560130119324,4.766719303734225,-0.3859919231607598,-3.128030718929665,0.6833962246517699,0.11565966021272871,7.21698315149599,0.7365003446439905,0.6931641613815464,0.5229555368423462,4.037781871221207,0.5830044107933213,2.1083187721238987,6.266146864931698,0.9508362865642919,0.9689963339540811,1.0468358161260227,elongated,post,post_mean,already_diagonal,0.5830044107933213,33.40369217596861,0.20239375260412695,11.596307824031388,0.5830044107933213,33.40369217596861,0.7853981633974483,45.0,0.2896602152,16.5963078240,0.20239375260412695,11.596307824031388,1.0000000000,5.0000000000,0.0872664626,0.9874209476,1.0127393007,0.9874209476,1.0127393007,17.0848694894,2.9080763325,0.3936594502,3.3210560954,0.6875000000,0.2840338841,17.0694939860,3.6273286772,0.3332445324,1.5125028686,0.7187500000,0.2332820104,5.6522468268,1,1
2,7,39,78,79,0.9255586193115835,0.948309038233748,0.9935814998983328,0.24876350164413452,11.96980118137131,3.0007170414672886,3.0322899917214903,0.9016371117104276,0.023921507601155884,6.533986505819607,0.7129178199858129,0.9546885548896143,0.36216485500335693,11.733187693157909,-2.9354480540329564,1.7071004249845558,5.596090960682977,0.9378955451366304,0.3470202116793415,1.3251895667369344,elongated,post,post_mean,axis_like,-2.9354480540329564,-168.18878447597882,0.5792535638406116,33.188784475978835,0.20614459955683653,11.811215524021154,-2.356194490192345,-135.0,0.6665200264,38.1887844760,0.5792535638406116,33.188784475978835,1.1000000000,5.0000000000,0.0872664626,0.5350833398,1.8688677549,0.5885916738,1.6989706863,23.7143679670,9.8368229701,1.5190826850,7.5804797004,0.6250000000,0.5841259682,21.6954382111,7.7230302662,1.1375095469,3.2153848114,0.6562500000,0.5313220569,4.4268865844,1,1
2,7,46,92,93,0.4657167650777297,0.9661436037526259,0.9932670232493318,0.7971377372741699,8.28877569377955,-0.5851180264557009,2.5712040191922894,0.4578330194094543,0.007883745668275377,0.6186338738006911,0.4814506975560311,0.9910562643706956,0.7093883156776428,8.279546071049724,-0.5029201575473302,2.6836114016611634,0.45823779193715247,0.1603960818635386,0.08219786890837066,0.11240738246887405,elongated,post,post_mean,intermediate,-0.5029201575473302,-28.815202459516456,0.28247800585011806,16.184797540483544,0.5029201575473302,28.815202459516456,-0.7853981633974483,-45.0,-0.1952115433,-11.1847975405,-0.28247800585011806,-16.184797540483544,1.0000000000,5.0000000000,0.0872664626,0.7783616304,1.2847498655,0.7783616304,1.2847498655,33.6131454542,5.2164690784,2.3267409623,8.8498707354,0.5312500000,0.7242255415,32.8180063004,5.0216724646,2.1598582390,8.3971187840,0.5625000000,0.6642312991,5.7170523856,1,1
3,1,38,76,77,1.4412319967919323,0.9588546854876211,0.9811481063493523,0.06538468599319458,8.660774720422266,1.5385266707332292,1.504431413464391,1.4115820248957578,0.029649971896174555,5.71836229373908,0.5110587756639995,0.9252015114731681,0.5542076230049133,8.41022450902159,1.9651511801154764,-2.8109166104065304,4.320390763190533,1.3979715305485476,0.42662450938224716,1.173755370281128,elongated,post,post_mean,intermediate,1.9651511801154764,112.59486872576986,0.3910433100768684,22.405131274230133,0.39435485332057985,22.594868725769864,2.356194490192345,135.0,0.4783097727,27.4051312742,0.3910433100768684,22.405131274230133,0.9000000000,5.0000000000,0.0872664626,0.6559784647,1.5244402885,0.5903806182,1.6938225428,18.8159956130,4.6888014219,0.5079033899,3.4499944745,0.7812500000,0.3183524684,20.2334200683,6.1049775715,0.3908346234,2.0049224890,0.8125000000,0.2947578792,5.8195478289,1,1
3,3,39,78,79,2.884214167351794,0.9309061221090646,0.9699153988341079,0.08198559284210205,9.642919714910516,-0.034329430659595685,3.0150250225677238,2.784573396607104,0.09964077074469001,6.473023488334929,0.17643181309334527,0.9324813121509246,0.46752071380615234,9.45500282772307,0.3154362948972505,1.6863363365972075,3.807535379288924,2.6654881090460054,0.3497657255568462,1.3286886859705163,isotropic_scatter,post,post_mean,intermediate,0.3154362948972505,18.073168402856478,0.4699618685001978,26.926831597143522,0.3154362948972505,18.073168402856478,0.7853981633974483,45.0,0.3826954059,21.9268315971,0.4699618685001978,26.926831597143522,1.0000000000,-5.0000000000,-0.0872664626,0.4676120203,2.1385250092,0.4676120203,2.1385250092,15.7329363517,8.4451890766,0.5781254659,8.0394790319,0.8437500000,0.1864032410,16.0063978930,2.0002997524,0.2774857809,1.4992551074,0.8750000000,0.1497292381,2.6475315369,1,1
3,4,44,88,89,0.427351480488364,0.9517981654075756,0.9958854679581711,0.6997108459472656,10.170377650851867,-0.49352996500633856,2.674806792226282,0.417051917801176,0.01029956268718804,0.9432076237314444,0.15026731198888213,0.9909188142372662,0.5563410520553589,10.14498498387777,-0.36947196726621573,0.844149880159573,0.5424704489985699,0.4007371747328745,0.12405799774012283,1.3109357415230842,elongated,post,post_mean,intermediate,-0.36947196726621573,-21.169184372749864,0.4159261961312325,23.830815627250132,0.36947196726621573,21.169184372749864,-0.7853981633974483,-45.0,-0.5031926587,-28.8308156273,-0.4159261961312325,-23.830815627250132,1.0000000000,-5.0000000000,-0.0872664626,0.6527266559,1.5320348740,0.6527266559,1.5320348740,59.4477484699,7.4269176494,2.3713260906,3.3374275610,0.7500000000,0.4840137216,54.9878967123,10.2473378077,1.5709965454,1.1654171903,0.8437500000,0.3081187003,5.3686819563,1,1
3,5,40,80,81,1.0141714553813879,0.9243466278201158,0.9917480390712498,0.20189273357391357,11.040221459324991,1.458183223514515,1.3536221116671887,0.9758087100977586,0.03836274528362926,4.192888975880057,0.5454587591209006,0.9658839147912195,0.3095780611038208,10.895309032858606,1.7412155867054975,-3.0418825959868965,3.2399684968979208,0.9529204789821357,0.28303236319098257,1.2539120540642923,elongated,post,post_mean,axis_like,1.7412155867054975,99.76430434062046,0.6149789034868474,35.23569565937954,0.17041925991060092,9.764304340620459,2.356194490192345,135.0,0.6149789035,35.2356956594,0.6149789034868474,35.23569565937954,0.9000000000,0.0000000000,0.0000000000,0.5372208190,1.8614319563,0.4834987371,2.0682577292,9.1908305345,6.2621070264,0.1658381270,1.0557436612,0.9375000000,0.0935450653,8.7793194634,7.0556773606,0.0938212316,0.1933936631,0.9687500000,0.0793451627,4.5333394895,1,1
