layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,residual_gamma,final_dim0,final_dim1,dominant_channel
9,3,52,-25.259145931624982,7.962131500244141,1.0047560756506846,7.795960426330566,7.07781982421875,7.833038603887938,7.111482470744649,1.0213150227587529,7.999999999999999,7.263063881457043,0
9,3,53,40.811739671809974,8.643841743469238,0.9255143994329043,7.419992923736572,7.6595306396484375,6.867310294608453,7.089005899892153,1.128508018327606,7.749814731809352,7.999999999999999,1
9,3,54,-44.25483738901601,6.780386924743652,1.1798736692747749,6.39205265045166,6.303600788116455,7.541814614885951,7.4374525915183245,1.0607526714074473,8.0,7.889297704919305,0
9,3,55,11.52474734609604,10.953763008117676,0.730342622354648,5.642328262329102,10.543678283691406,4.12083281929518,7.700497646974935,1.038893895791621,4.281108061543539,8.000000000000002,1
9,3,56,28.779524406966747,7.750953674316406,1.0321310558865595,6.989310264587402,5.875491619110107,7.213884183307364,6.064277368684746,1.1089726140200138,7.999999999999999,6.725117525692734,0
9,3,57,42.61063167601228,8.711769104003906,0.9182979833938919,7.939402103424072,7.9233717918396,7.290736940927549,7.276016338126352,1.0972827664499738,8.0,7.983847336234492,0
9,3,58,42.04881394240873,9.299833297729492,0.8602304733734485,8.955626487731934,8.875259399414062,7.703902812897435,7.634768594470107,1.038434699177001,8.0,7.9282086286845805,0
9,3,59,-19.88870754030147,6.857459545135498,1.166612788211779,6.392104625701904,6.27184534072876,7.457110999931508,7.3168149801806335,1.0728015179167212,8.000000000000002,7.849490217053588,0
9,3,60,9.610531740586095,8.39034652709961,0.953476709711709,8.389974594116211,5.676888465881348,7.999645370562756,5.4127809358488985,1.0000443306447744,7.999999999999999,5.413020887917807,0
9,3,61,44.341242675637794,11.816259384155273,0.6770332082187875,11.482272148132324,9.913627624511719,7.773879550091257,6.711855115709566,1.0290872078029674,7.999999999999999,6.90708424020362,0
9,3,62,37.45692891157997,12.414072036743164,0.6444299643438192,10.489255905151367,9.281461715698242,6.75959080894989,5.981252042505941,1.183503591579504,8.0,7.078833274448026,0
9,3,63,35.157426712466766,11.050557136535645,0.7239453994179341,9.988466262817383,11.042731285095215,7.23110419820789,7.9943345108531725,1.0007086880263938,7.236228795170766,8.000000000000002,1
9,4,32,37.71407143104598,5.357418537139893,1.4932564899569847,5.045507431030273,4.866504669189453,7.534236716512149,7.2669396806731195,1.0618195712469556,8.0,7.71617877600982,0
9,4,33,-31.242133661752362,9.689732551574707,0.8256161826365266,8.768608093261719,8.707124710083008,7.239504740994493,7.188743064878906,1.105047967535558,8.0,7.9439059129797736,0
9,4,34,-7.371715805690091,6.277405738830566,1.274411808450403,6.231024742126465,5.748517036437988,7.9408915101125945,7.325977992314888,1.0074435584231483,7.999999999999999,7.380509337507382,0
9,4,35,18.928261310130633,4.966025352478027,1.6109462663149778,4.509535789489746,4.637345790863037,7.264619842892272,7.470514887402287,1.0708766558367477,7.779511803281756,8.0,1
9,4,36,-11.572304791658699,5.338438987731934,1.4985654080499,3.988692283630371,5.286646366119385,5.977316279604034,7.922385368859217,1.0097968765122012,6.035875309069685,8.0,1
9,4,37,39.05142128945331,6.127780437469482,1.3055298050632613,5.242576599121094,4.306599140167236,6.844340005479777,5.622393535948141,1.168849004227576,8.0,6.571729085868545,0
9,4,38,26.047787220933184,4.939789772033691,1.6195021183475249,4.934168815612793,4.807730674743652,7.990896849169216,7.7861300121917205,1.0011391901312967,7.999999999999999,7.794999894662602,0
9,4,39,28.615511014832794,20.57615852355957,0.38879949291020727,16.86647605895996,17.511999130249023,6.557677338905784,6.808656381684811,1.1749748484179472,7.705105937254631,8.0,1
9,4,40,-18.323295433349806,5.082967758178711,1.5738836798891083,3.6871402263641357,4.521346569061279,5.803129827737146,7.11607357616816,1.1242154700019014,6.523968326771568,8.0,1
9,4,41,-17.024456721348805,6.706571578979492,1.1928598548138247,4.867518424987793,6.5669660568237305,5.8062673217345555,7.83347017711007,1.0212587549482912,5.929701335891582,8.000000000000002,1
9,4,42,-22.256082463508346,6.721867561340332,1.1901454360705688,5.080911159515381,6.337542533874512,6.047023227577252,7.542597322593858,1.0606425953611485,6.413730410306685,7.999999999999999,1
9,4,43,-19.44775963107917,6.79388952255249,1.1775287150966756,6.532553672790527,5.151079177856445,7.692269532621099,6.06554364566254,1.040005159215221,8.0,6.308196684934143,0
9,4,44,-0.5654695976680362,7.858389854431152,1.0180202494648438,6.918941020965576,5.589735507965088,7.043622064195917,5.690463936261114,1.1357792804735416,8.000000000000002,6.4631110350872865,0
9,4,45,17.867645727873104,7.90758752822876,1.0116865569228723,7.765683174133301,6.7726664543151855,7.856437272592801,6.851815606353168,1.0182732608211635,8.0,6.977020620026578,0
9,4,46,-5.676166322419407,6.686055660247803,1.1965201019136444,6.190755844116211,6.672198295593262,7.407363813524419,7.983419384631294,1.0020768814175822,7.4227480297819985,8.0,1
9,4,47,-17.17977319161162,6.288447380065918,1.2721741181073762,4.95481538772583,6.205349445343018,6.303387896264965,7.89428495817735,1.0133913384660818,6.387798697066853,8.000000000000002,1
9,4,48,35.107011564836604,6.71904993057251,1.1906445230595786,5.657778739929199,6.0423736572265625,6.7364032693796245,7.194319101256282,1.111988485276255,7.490802867727461,8.000000000000002,1
9,4,49,4.544478441399511,12.42248821258545,0.6439933661514812,6.835412979125977,12.051193237304688,4.401960613462862,7.760888499033811,1.0308098101133596,4.53758418409014,8.0,1
9,4,50,34.54637166075521,8.595969200134277,0.9306687604086613,7.002810001373291,6.579198360443115,6.517296503355457,6.123054382596291,1.2275028450648466,7.999999999999999,7.516066675123724,0
9,4,51,11.203546989547771,5.2978315353393555,1.510051791310415,5.043962478637695,4.7904372215271,7.616644576169373,7.2338083075270845,1.0503312738302182,7.999999999999999,7.597895094288536,0
9,4,52,36.950342544833106,6.964406490325928,1.1486980277662695,6.77957010269165,5.968105316162109,7.787678806065064,6.855550806176804,1.0272637327787042,7.999999999999999,7.042458711407237,0
9,4,53,19.911986164530116,7.3114776611328125,1.0941700666784928,6.111630916595459,7.282968521118164,6.687163607525592,7.9688061523692255,1.00391449447186,6.713340472499674,7.999999999999999,1
9,4,54,-33.24499719740635,5.974073886871338,1.3391196947832953,5.154078483581543,5.8178300857543945,6.901928005822866,7.790770848736497,1.0268560268715174,7.087286369812523,7.999999999999999,1
9,4,55,39.364361925358786,16.0722713470459,0.4977516759926038,11.5142183303833,11.41536808013916,5.731221471693048,5.682018593961739,1.3958630004986943,8.0,7.931319523456804,0
9,4,56,34.6793584454283,9.920487403869629,0.8064119910962726,8.811988830566406,8.377516746520996,7.10609345837517,6.755729960004364,1.125794368855546,7.999999999999999,7.605562746481616,0
9,4,57,-19.550268051209144,11.170686721801758,0.716160089279601,11.019609451293945,6.005339622497559,7.891804488465007,4.300784560202176,1.0137098570666743,8.0,4.359747701797108,0
9,4,58,-26.923324294008612,9.788763046264648,0.8172636279159671,5.514115333557129,9.607227325439453,4.506485902249962,7.8516374582020605,1.0188957453254488,4.591639312171603,8.000000000000002,1
9,4,59,-29.24158101022942,7.604176998138428,1.0520533651384592,5.458466053009033,6.484046936035156,5.742597579562196,6.821563398771501,1.1727516893621077,6.734641012758317,8.0,1
9,4,60,42.75920307385107,13.167778015136719,0.607543656249656,10.561317443847656,10.92594051361084,6.416461414648476,6.637985847605374,1.2051848533069662,7.733022108762933,8.000000000000002,1
9,4,61,-26.66847650172603,9.629266738891602,0.8308005393275519,6.52155876159668,8.759729385375977,5.418114536390843,7.277587897733766,1.099265321479826,5.955945417660199,8.0,1
9,4,62,33.29867402166622,6.394350051879883,1.2511044805324774,6.2704267501831055,6.242900848388672,7.844959002004784,7.810521222939071,1.0197631368061446,8.0,7.964881622395312,0
9,4,63,-37.30051691263935,5.776355743408203,1.3849562518945184,4.303933620452881,5.72959041595459,5.960759775385227,7.935232067371223,1.0081620716418735,6.0094119237119195,8.0,1
9,5,32,17.21739438919392,4.863724231719971,1.644830097032648,4.291007995605469,4.841769695281982,7.0579790977796115,7.963888517700397,1.0045344032904708,7.089982821424657,8.0,1
9,5,33,16.09002135713016,7.717445373535156,1.0366124556493508,7.409543037414551,6.501101016998291,7.680824603253847,6.73912228965509,1.0415548346997716,8.0,7.019165402423254,0
9,5,34,-6.022235251257099,9.778945922851562,0.8180840821816491,9.156989097595215,8.86866283416748,7.491187021453548,7.255311894868406,1.067921542619253,8.0,7.748103870951684,0
9,5,35,-3.4257215179088956,4.996449947357178,1.6011368240027142,4.643269062042236,4.704707145690918,7.434509078988368,7.532879857114431,1.0620108314145482,7.895529168135444,8.0,1
9,5,36,-14.926202594333748,7.487690448760986,1.06842023648611,5.723296165466309,6.744953155517578,6.11488544258756,7.2064444455058245,1.1101174872705863,6.7882412624727895,8.0,1
9,5,37,32.29645530961132,4.3418426513671875,1.8425356795186736,3.9885029792785645,3.472611665725708,7.348959047187284,6.398410895212391,1.0885895469865072,8.0,6.965243217852788,0
9,5,38,-3.974211655861561,5.650335311889648,1.415845177040396,5.473117828369141,4.660398006439209,7.749087480670253,6.59840204050563,1.0323796214658354,8.0,6.812055800856598,0
9,5,39,27.27805861060209,18.641122817993164,0.4291586981165146,15.551830291748047,15.232538223266602,6.674203241335567,6.537176272907141,1.1986449484267023,8.0,7.835753316495042,0
9,5,40,-12.979995212046626,5.287363529205322,1.5130414157852279,4.992585182189941,5.183570384979248,7.553988152489019,7.84295667411138,1.0200234850725365,7.7052453214985,8.0,1
9,5,41,-19.69258039850538,4.885843276977539,1.6373836708386864,4.792290687561035,4.066742897033691,7.84681851772474,6.65881841310218,1.0195214763702316,8.0,6.788808379407217,0
9,5,42,-42.60899760570841,5.352215766906738,1.494708051469966,4.418423175811768,4.979560852050781,6.604252695687346,7.442989698344947,1.0748369034796477,7.098494517229703,8.0,1
9,5,43,18.414374034250926,5.555830478668213,1.439928743455412,5.4416985511779785,4.043288707733154,7.835658157060843,5.8220476283536575,1.020973585070332,8.0,5.944156839570458,0
9,5,44,-20.07962746465909,4.971207618713379,1.6092669253815066,4.908405303955078,4.194362163543701,7.898934312022068,6.749848302862496,1.0127948510502374,8.0,6.83621160650932,0
9,5,45,-44.004359668512,6.890671730041504,1.160989858959921,6.079448223114014,5.405302047729492,7.058177735107281,6.275500862029236,1.1334370286834954,8.0,7.112885050559131,0
9,5,46,-27.394448913187112,5.830869674682617,1.3720080273334958,5.041386604309082,4.898319244384766,6.916822890003615,6.720533323738042,1.156600382461986,8.0,7.772971412583941,0
9,5,47,9.466650585441371,8.755206108093262,0.9137420525834162,5.57269287109375,7.581645965576172,5.092003822450174,6.927668746546348,1.1547896258735295,5.880193189073819,8.0,1
9,5,48,-4.285468114596587,7.981745719909668,1.0022870034615108,7.9742255210876465,5.849878311157227,7.992462602457241,5.86325700310426,1.0009430632231475,8.0,5.868786425151749,0
9,5,49,25.195695342434114,8.082077980041504,0.9898444459154944,6.383449554443359,6.670485973358154,6.318622087247497,6.6027434922857795,1.2116175661445405,7.655753514737948,7.999999999999999,1
9,5,50,36.71427574797199,6.106597423553467,1.310058522794311,5.392396926879883,5.160158157348633,7.064355552348841,6.7601091730011635,1.1324458318551174,8.0,7.655457455850712,0
9,5,51,-22.3929371360729,6.107682704925537,1.3098257369441286,5.77291202545166,6.046570777893066,7.561508748050843,7.919954025138619,1.0101068736772092,7.637931961776506,8.0,1
9,5,52,-7.5609104435529275,6.204054832458496,1.2894792544620082,5.421893119812012,5.893959999084473,6.991418697907885,7.6001391454483445,1.0526123070774471,7.359253365349219,7.999999999999999,1
9,5,53,-13.468216877517552,6.782590866088867,1.1794902800341167,6.424925327301025,6.009401321411133,7.578136973496576,7.088030447428608,1.0556684351284265,8.0,7.4826100105796,0
9,5,54,-7.418584328687473,8.289339065551758,0.9650950379440778,5.176684379577637,7.534392356872559,4.995992407732994,7.271404677541492,1.1002000789075668,5.496591241209445,7.999999999999999,1
9,5,55,8.084033186066264,7.2256760597229,1.1071628362352566,7.180746078491211,5.448380470275879,7.950255194547525,6.032244374359423,1.006257007383435,8.0,6.069988171948474,0
9,5,56,-37.92291255204314,7.53874397277832,1.0611847316857066,6.123467445373535,7.136398792266846,6.498130158004874,7.573037437573893,1.0563793016930985,6.864490198624052,8.000000000000002,1
9,5,57,42.769673548487994,9.938848495483398,0.8049222204801203,8.613199234008789,8.594705581665039,6.932955452876026,6.918069501166707,1.153909044184227,8.0,7.982822965691327,0
9,5,58,-24.086894631820858,7.576198101043701,1.0559385978698097,7.493687629699707,6.303803443908691,7.912874008579446,6.656429369807821,1.0110106632970635,7.999999999999999,6.729721072359459,0
9,5,59,-33.188059283035386,6.253910541534424,1.2791996218796513,5.184047698974609,5.537473201751709,6.631431856334396,7.083533625849488,1.1293798296949011,7.4894053805402825,8.0,1
9,5,60,-27.786559060223254,9.450135231018066,0.8465487323124959,7.738397598266602,6.514725685119629,6.550930676942655,5.515032770101678,1.2212005277597642,7.999999999999999,6.734960929460564,0
9,5,61,-21.00736715915899,9.841102600097656,0.812917040405677,9.822273254394531,7.928849220275879,7.98469330401824,6.445496641969528,1.0019170048740704,8.0,6.457852690447988,0
9,5,62,43.42297792892795,10.002894401550293,0.7997685148770665,8.304655075073242,8.54342269897461,6.64180165595762,6.832760483925942,1.1708298598816667,7.776419702206682,8.0,1
9,5,63,-23.67591564037617,7.394857406616211,1.081832895498751,6.7551984786987305,7.242980003356934,7.3079959298794055,7.835694029071185,1.0209689110267992,7.461236646317258,8.0,1
9,6,32,-34.60357275784241,8.762264251708984,0.9130060187855766,7.932905197143555,8.722686767578125,7.242790191447447,7.963865518780135,1.0045373042945858,7.275652934487885,7.999999999999999,1
9,6,33,-24.60342563982711,6.009618759155273,1.3311992525004197,5.982114315032959,5.394891738891602,7.963386104543935,7.18167585013319,1.004597779760443,8.000000000000002,7.214695614002995,0
9,6,34,4.653965311601863,5.879384994506836,1.360686535662229,5.263948440551758,5.875413417816162,7.1625837674789645,7.99459592907165,1.0006759654867232,7.167425426901545,8.000000000000002,1
9,6,35,-24.520925348368667,5.687870502471924,1.4065017824374226,5.458422660827637,5.173844337463379,7.6772812017508905,7.277021282696008,1.0420355578711262,7.999999999999999,7.5829149319541935,0
9,6,36,-10.333454690605873,6.966657638549805,1.1483268469706656,6.228079319000244,6.033881187438965,7.15187068707076,6.928867758967402,1.1185884574874234,8.0,7.750551498637686,0
9,6,37,10.650881365471607,12.856623649597168,0.6222473503181888,11.038454055786133,12.062055587768555,6.868648787821986,7.505582128879686,1.0658733543422185,7.321109723274433,8.000000000000002,1
9,6,38,-3.077994950753281,6.545404434204102,1.2222315794872303,5.63223934173584,6.487196922302246,6.883900786699914,7.9288569407901734,1.0089726753479218,6.945667793586275,7.999999999999999,1
9,6,39,-8.906032569891408,6.981943130493164,1.1458128275294226,6.605167865753174,6.294826507568359,7.568286068565126,7.2126929594440625,1.0570424964812044,8.0,7.624122972203158,0
9,6,40,24.54767569781428,5.642163276672363,1.4178958686070218,5.153818130493164,5.088594436645508,7.307577434778222,7.2150970287363405,1.0947540510383649,8.000000000000002,7.898756700843979,0
9,6,41,-18.7392117918217,7.4548869132995605,1.0731215768984979,7.312780380249023,6.141477584838867,7.847502413165229,6.590552110329063,1.019432626943693,8.0,6.718623850842058,0
9,6,42,-18.532894115971086,5.52895975112915,1.4469267927599223,4.777583122253418,5.352811336517334,6.9128130242260735,7.745126139395979,1.032907644887485,7.140297420400886,7.999999999999999,1
9,6,43,5.598955847431491,6.0002264976501465,1.3332830024221618,5.613473892211914,4.739586353302002,7.484349325026719,6.319209923369598,1.0688971950105282,8.0,6.754585761772458,0
9,6,44,-15.676565873005059,6.286062717437744,1.2726567264128208,5.58259916305542,5.9855427742004395,7.104732375729064,7.617541272817845,1.050207634390759,7.4614441812938574,8.0,1
9,6,45,-36.36011733271113,6.039603233337402,1.3245903233910465,5.275167465209961,5.216936111450195,6.9874357786843895,6.910303090976243,1.1449121327747298,7.999999999999999,7.911689850009418,0
9,6,46,-31.12671240169543,6.021320819854736,1.3286121499490204,5.8463311195373535,5.373724937438965,7.7675065580423865,7.139596242365449,1.029931541122021,8.0,7.353295360888436,0
9,6,47,-44.691179169815896,6.486319541931152,1.2333650768025815,6.3973069190979,5.722239017486572,7.890214939602868,7.057609765285054,1.0139140772764117,8.0,7.155809892945989,0
9,6,48,-2.0020172316057097,6.6949639320373535,1.1949280207048867,5.3484601974487305,5.584278106689453,6.3910249575562785,6.672810385092061,1.198895148867568,7.662168817905778,8.0,1
9,6,49,-25.04707324842366,6.9489827156066895,1.1512476469444708,6.455670356750488,6.768706321716309,7.432075307658172,7.792457225734064,1.0266338034658105,7.630019740745443,8.0,1
9,6,50,21.33231515525925,6.184847354888916,1.2934838227941496,6.134148597717285,5.516921043395996,7.934421977762726,7.1360481212653415,1.0082650030992888,8.000000000000002,7.1950275811042745,0
9,6,51,-12.571884212079489,6.666149616241455,1.2000930762953088,5.014926910400391,6.302080154418945,6.018379063298533,7.563082759576247,1.0577697288675754,6.366059190007581,8.0,1
