layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,base_channel_ratio,apply_gamma,gamma_raw,residual_gamma,final_dim0,final_dim1,dominant_channel
16,3,39,-31.95599732627044,4.12225341796875,1.9406861220924208,4.076596736907959,3.0642921924591064,7.911394712684523,5.9468293319415455,0.7516790083051798,0,1.0,1.0,7.911394712684523,5.9468293319415455,0
16,3,40,20.067078462887046,8.459564208984375,0.9456751911054354,5.372076988220215,7.910390853881836,5.080239932468263,7.480660382463394,0.6791165047911628,0,1.0,1.0,5.080239932468263,7.480660382463394,1
16,3,41,18.534191170288754,3.7121174335479736,2.1551042344998623,3.433647394180298,3.6466639041900635,7.399868038977377,7.858940821717806,0.9415859219257888,1,1.0,1.0,7.399868038977377,7.858940821717806,1
16,3,42,-40.81637406710571,21.117210388183594,0.3788379171747279,16.83558464050293,16.874170303344727,6.37795781962697,6.392575531770763,0.997713329772774,1,1.0168045676887731,1.0016804567688773,6.3886757020165765,6.4033179785936865,1
16,3,43,-1.4076173240383776,4.419024467468262,1.8103543121098271,3.7302165031433105,4.322439193725586,6.753013531568732,7.8251464331936385,0.8629887746155133,0,1.0,1.0,6.753013531568732,7.8251464331936385,1
16,3,44,44.69246969373396,4.412137031555176,1.8131803121219439,3.9640700817108154,4.204588413238525,7.1875738280296755,7.623676931460138,0.942796224531653,1,1.0,1.0,7.1875738280296755,7.623676931460138,1
16,3,45,-28.313725040178536,4.720150947570801,1.6948610518731726,4.539943218231201,3.792426824569702,7.69457293829581,6.427636517042242,0.8353467526510745,0,1.0,1.0,7.69457293829581,6.427636517042242,0
16,3,46,44.15639320314298,4.354413032531738,1.8372166214440728,3.9792909622192383,4.066489219665527,7.310819497351362,7.471021585292644,0.9785568698855517,1,1.0,1.0,7.310819497351362,7.471021585292644,1
16,3,47,-19.697648358741684,5.015681266784668,1.5949976831618822,4.300454616546631,4.183206558227539,6.8592151499346965,6.672204768560516,0.9727358921849885,1,1.0,1.0,6.8592151499346965,6.672204768560516,0
16,3,48,16.69432249246959,4.679234504699707,1.7096813574880674,3.5663652420043945,4.6686530113220215,6.097348168248333,7.981909018037787,0.7638959745681565,0,1.0,1.0,6.097348168248333,7.981909018037787,1
