layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,fakeq_err_before,fakeq_err_after,fakeq_err_delta,fakeq_err_gain_pct,orig_suggested_alpha_rad,orig_suggested_alpha_deg,best_alpha_frac,rpn_alpha,fakeq_rpn_err_before,fakeq_rpn_err_after,fakeq_rpn_err_delta,fakeq_rpn_err_gain_pct,fakeq_rpn_p99_before,fakeq_rpn_p99_after,fakeq_rpn_p99_delta,fakeq_rpn_p99_gain_pct
2,1,40,80,81,1.0310199293374536,0.9517342728497525,0.9939161069651176,0.3017357587814331,12.978294041699902,2.965768664378345,2.9578075674018245,1.006138466039995,0.024881463297458512,5.440943419238383,0.6308340523873143,0.9678938103524237,0.26778489351272583,12.80727036725818,-3.034372655403055,1.579371446811437,4.436637902603627,1.0043055166347565,0.2830439873981867,1.3784361205903874,elongated,post,post_mean,axis_like,-3.034372655403055,-173.85674662449955,0.67817816521071,38.85674662449956,0.10721999818673857,6.14325337550046,-2.356194490192345,-135.0,0.6781781652,38.8567466245,26.7590342829,17.8491623609,8.9098719220,33.296687,0.67817816521071,38.85674662449956,1.000000,8.000000,6.7943322430,6.3957000878,0.3986321552,5.867128,9.6174183396,9.4212727747,0.1961455649,2.039483
2,2,38,76,77,0.5232045969882256,0.8933136241886761,0.9939369165285116,0.08276748657226562,9.261224512854936,1.5274923546532149,1.4627815030570273,0.49529519585842324,0.02790940112980238,5.459375373765532,0.8020447606254071,0.9367347800554512,0.541612982749939,8.99077832306249,1.9555339189928536,-2.836166341318354,4.919019394291176,0.5403559794743553,0.4280415643396387,1.157355190785588,elongated,post,post_mean,intermediate,1.9555339189928536,112.04384025296832,0.4006605711994913,22.956159747031673,0.38473759219795695,22.043840252968323,2.356194490192345,135.0,0.4006605712,22.9561597470,12.4150724758,11.3570225884,1.0580498874,8.522301,0.4006605711994913,22.956159747031673,1.000000,8.000000,6.4418698811,6.3431285647,0.0987413164,1.532805,9.3346373299,9.2996469488,0.0349903812,0.374845
2,2,46,92,93,0.4616265724431039,0.9729835101666378,0.9943271770708874,0.752845287322998,8.995192068891752,-0.543109214488442,2.5869025616293286,0.4553908076429809,0.006235764800123014,0.6334055800902497,0.4372123737029025,0.9922162240481529,0.663005530834198,8.985638471511242,-0.4608987573763858,2.6973019146607857,0.45516916863930446,0.17823641145094526,0.08221045711205616,0.11039935303145709,elongated,post,post_mean,intermediate,-0.4608987573763858,-26.407553580491026,0.3244994060210625,18.592446419508974,0.4608987573763858,26.407553580491026,-0.7853981633974483,-45.0,-0.4056242575,-23.2405580244,12.4150724758,11.6792467717,0.7358257041,5.926874,-0.3244994060210625,-18.592446419508974,1.250000,8.000000,6.4418698811,6.0853227875,0.3565470936,5.534838,9.3346373299,9.2468740525,0.0877632775,0.940189
2,3,40,80,81,1.439107858378076,0.8746176351908508,0.9877300322735515,0.3704884648323059,10.763266449541709,1.3464290447183929,1.3090684282773262,1.3488884851290768,0.09021937324899938,4.459512859074794,0.4051716554203697,0.9619777735917734,0.25009214878082275,10.622028379114202,1.6293312979950194,3.101791358225219,3.1331905332774794,1.3263223257973142,0.28290225327662655,1.3488697236419007,elongated,post,post_mean,axis_like,1.6293312979950194,93.35380680368687,0.7268631921973254,41.646193196313135,0.058534971200122854,3.353806803686863,2.356194490192345,135.0,0.7268631922,41.6461931963,18.7479491942,12.4279111437,6.3200380505,33.710557,0.7268631921973254,41.646193196313135,1.000000,8.000000,5.7179754715,5.1890011511,0.5289743204,9.251077,9.0788250308,8.8181073245,0.2607177063,2.871712
2,4,38,76,77,1.3127751209600602,0.9571595950014863,0.9823788702850683,0.07564467191696167,8.554956411350688,0.037222801471853396,3.0859529002260184,1.284655212033588,0.02811990892647239,5.498603122281914,0.5472480614176201,0.9261932884952694,0.6284480690956116,8.306710485203897,0.4682925241007306,1.9020126081483386,4.2538515107280555,1.244751611553858,0.43106972262887716,1.1839402920776798,elongated,post,post_mean,intermediate,0.4682925241007306,26.831185208500248,0.31710563929671765,18.16881479149975,0.4682925241007306,26.831185208500248,0.7853981633974483,45.0,0.3171056393,18.1688147915,9.4822800175,8.5813517392,0.9009282783,9.501178,0.31710563929671765,18.16881479149975,1.000000,8.000000,5.7315389509,5.6769478677,0.0545910832,0.952468,9.1406433806,9.0990815601,0.0415618205,0.454693
2,6,40,80,81,0.980076589154551,0.9346441933898267,0.9931817612552809,0.40321874618530273,11.948359287975439,1.322790544532471,1.2226829161982662,0.9480497411430467,0.032026848011504225,4.696773506138404,0.5970832581758083,0.9673252815797566,0.24434798955917358,11.791801266525255,1.6058647713021683,3.1017866511401797,3.750569167048967,0.9462043390894368,0.2830742267696973,1.2624889186478798,elongated,post,post_mean,axis_like,1.6058647713021683,92.00927386435541,0.7503297188901765,42.99072613564459,0.03506844450727176,2.0092738643554053,2.356194490192345,135.0,0.7503297189,42.9907261356,23.4883193125,15.1128340841,8.3754852285,35.658087,0.7503297188901765,42.99072613564459,1.000000,8.000000,6.8435272952,6.1210931629,0.7224341322,10.556459,9.8670323637,9.3614767667,0.5055555971,5.123684
2,6,44,88,89,0.48454943118180605,0.9742045361169068,0.9909601812595249,0.7410014271736145,7.288149704938023,-0.532607282255829,2.532176191156856,0.47829984250648133,0.006249588675324727,0.7531499453716057,0.26131292185515353,0.9859491335853535,0.6016479134559631,7.269698958290825,-0.40828114167632723,2.716300313862909,0.4749788790959853,0.27817106627562044,0.12432614057950177,0.18412412270605305,elongated,post,post_mean,intermediate,-0.40828114167632723,-23.39278627283637,0.37711702172112105,21.60721372716363,0.40828114167632723,23.39278627283637,-0.7853981633974483,-45.0,-0.3771170217,-21.6072137272,23.4883193125,23.4169695622,0.0713497503,0.303767,-0.37711702172112105,-21.60721372716363,1.000000,8.000000,6.8435272952,6.8374688323,0.0060584628,0.088528,9.8670323637,9.8740238643,-0.0069915006,-0.070857
2,6,54,108,109,2.155088807398064,0.7815395467603363,0.9185495137455054,0.388985276222229,4.92988774987308,2.969576613576325,1.555739409553024,1.9196879685805013,0.23540083881756296,2.159075447482407,0.780847746816432,0.9183988445309608,0.3808019161224365,4.929483525213074,2.985569770755,1.570665497016591,1.9224923229282527,0.23658312455415445,0.015993157178675332,0.014926087463567052,elongated,post,post_mean,axis_like,2.985569770755,171.06054730610222,0.6293752805626553,36.06054730610223,0.1560228828347929,8.93945269389777,2.356194490192345,135.0,0.0000000000,0.0000000000,23.4883193125,23.4414500025,0.0468693100,0.199543,-0.6293752805626553,-36.06054730610223,0.000000,8.000000,6.8435272952,6.8435272952,0.0000000000,0.000000,9.8670323637,9.8670323637,0.0000000000,0.000000
2,6,57,114,115,2.2583157382912797,0.7938585934113069,0.9137085931988365,0.37067604064941406,4.890039988538622,-0.10956682676344218,1.514822815836614,2.025549546885303,0.23276619140597654,2.260695648015437,0.7939499627343041,0.9136176613208209,0.36784666776657104,4.889796816427761,-0.10092134174043688,1.5229339866859914,2.0277874367558453,0.23290821125959182,0.0086454850230053,0.008111170849377514,elongated,post,post_mean,axis_like,-0.10092134174043688,-5.782366944524503,0.6844768216570114,39.217633055475495,0.10092134174043688,5.782366944524503,-0.7853981633974483,-45.0,0.0000000000,0.0000000000,23.4883193125,23.4432332593,0.0450860532,0.191951,-0.6844768216570114,-39.217633055475495,0.000000,8.000000,6.8435272952,6.8435272952,0.0000000000,0.000000,9.8670323637,9.8670323637,0.0000000000,0.000000
2,7,39,78,79,0.9255586193115835,0.948309038233748,0.9935814998983328,0.24876350164413452,11.96980118137131,3.0007170414672886,3.0322899917214903,0.9016371117104276,0.023921507601155884,6.533986505819607,0.7129178199858129,0.9546885548896143,0.36216485500335693,11.733187693157909,-2.9354480540329564,1.7071004249845558,5.596090960682977,0.9378955451366304,0.3470202116793415,1.3251895667369344,elongated,post,post_mean,axis_like,-2.9354480540329564,-168.18878447597882,0.5792535638406116,33.188784475978835,0.20614459955683653,11.811215524021154,-2.356194490192345,-135.0,0.5792535638,33.1887844760,21.9834118823,15.9269135257,6.0564983566,27.550311,0.5792535638406116,33.188784475978835,1.000000,8.000000,6.7043743299,6.0702226459,0.6341516840,9.458775,9.5734549912,9.2343826326,0.3390723586,3.541797
2,7,46,92,93,0.4657167650777297,0.9661436037526259,0.9932670232493318,0.7971377372741699,8.28877569377955,-0.5851180264557009,2.5712040191922894,0.4578330194094543,0.007883745668275377,0.6186338738006911,0.4814506975560311,0.9910562643706956,0.7093883156776428,8.279546071049724,-0.5029201575473302,2.6836114016611634,0.45823779193715247,0.1603960818635386,0.08219786890837066,0.11240738246887405,elongated,post,post_mean,intermediate,-0.5029201575473302,-28.815202459516456,0.28247800585011806,16.184797540483544,0.5029201575473302,28.815202459516456,-0.7853981633974483,-45.0,-0.3530975073,-20.2309969256,21.9834118823,21.8911827862,0.0922290961,0.419539,-0.28247800585011806,-16.184797540483544,1.250000,8.000000,6.7043743299,6.5994286866,0.1049456433,1.565331,9.5734549912,9.5846053850,-0.0111503938,-0.116472
3,0,40,80,81,1.5802921440593052,0.9583385763926707,0.9890783838036944,0.23032867908477783,11.963013436135967,-1.700394001512084,1.4193666842622055,1.5473735338412897,0.03291861021801538,5.265562438469361,0.42753962946338187,0.9636089703351175,0.2947579622268677,11.807980537347575,-1.4165740260503432,3.1360028660231074,3.7583995261646406,1.5071629123047205,0.28381997546174076,1.4249564718288914,elongated,post,post_mean,axis_like,-1.4165740260503432,-81.1637130605398,0.6311758626528949,36.1637130605398,0.15422230074455334,8.8362869394602,-0.7853981633974483,-45.0,0.6311758627,36.1637130605,22.7216946762,15.2734341178,7.4482605585,32.780392,0.6311758626528949,36.1637130605398,1.000000,8.000000,6.3117437547,5.5187120823,0.7930316724,12.564383,9.7975994413,9.2776770179,0.5199224234,5.306631
3,1,38,76,77,1.4412319967919323,0.9588546854876211,0.9811481063493523,0.06538468599319458,8.660774720422266,1.5385266707332292,1.504431413464391,1.4115820248957578,0.029649971896174555,5.71836229373908,0.5110587756639995,0.9252015114731681,0.5542076230049133,8.41022450902159,1.9651511801154764,-2.8109166104065304,4.320390763190533,1.3979715305485476,0.42662450938224716,1.173755370281128,elongated,post,post_mean,intermediate,1.9651511801154764,112.59486872576986,0.3910433100768684,22.405131274230133,0.39435485332057985,22.594868725769864,2.356194490192345,135.0,0.3910433101,22.4051312742,10.3703535771,8.9652157873,1.4051377898,13.549565,0.3910433100768684,22.405131274230133,1.000000,8.000000,7.1998944714,7.1443671706,0.0555273008,0.771224,9.8715128725,9.8184326897,0.0530801828,0.537711
3,1,47,94,95,0.5535593221753949,0.3288638138601715,0.9838872906038075,0.32786673307418823,5.8139390230226216,2.9426236399860044,1.362998596442389,0.3678024760320878,0.18575684614330717,0.6052919404227077,0.3866851685926292,0.9823814849360475,0.2410029172897339,5.809488266635194,3.009533034573227,1.4290203382571676,0.4196746782266044,0.18561726219610333,0.06690939458722278,0.0660217418147786,elongated,post,post_mean,axis_like,3.009533034573227,172.43354118624518,0.6533385443808823,37.433541186245186,0.13205961901656593,7.566458813754815,2.356194490192345,135.0,-0.6533385444,-37.4335411862,10.3703535771,10.3140738828,0.0562796943,0.542698,-0.6533385443808823,-37.433541186245186,1.000000,8.000000,7.1998944714,6.7846104873,0.4152839841,5.767918,9.8715128725,9.3663592820,0.5051535905,5.117286
3,2,41,82,83,1.99376463064217,0.9711398586729052,0.991104960559199,0.4273718595504761,14.904685946557768,-1.8363323448952538,1.2733769722112536,1.9649944661360075,0.02877016450616235,5.925865450684775,0.34751092814996726,0.9735621691380014,0.2076197862625122,14.772188068235872,-1.6058547871412463,2.967790765866483,3.9925842267722063,1.9332812239125685,0.2304775577540075,1.4471788599345639,elongated,post,post_mean,axis_like,-1.6058547871412463,-92.0087018140726,0.7503397030510985,42.991298185927405,0.03505846034634974,2.0087018140725945,-2.356194490192345,-135.0,-0.7503397031,-42.9912981859,36.5978281445,22.6280172265,13.9698109180,38.171147,-0.7503397030510985,-42.991298185927405,1.000000,8.000000,7.0112498852,5.8555362345,1.1557136507,16.483704,10.2101104072,9.3479834873,0.8621269199,8.443855
3,3,39,78,79,2.884214167351794,0.9309061221090646,0.9699153988341079,0.08198559284210205,9.642919714910516,-0.034329430659595685,3.0150250225677238,2.784573396607104,0.09964077074469001,6.473023488334929,0.17643181309334527,0.9324813121509246,0.46752071380615234,9.45500282772307,0.3154362948972505,1.6863363365972075,3.807535379288924,2.6654881090460054,0.3497657255568462,1.3286886859705163,isotropic_scatter,post,post_mean,intermediate,0.3154362948972505,18.073168402856478,0.4699618685001978,26.926831597143522,0.3154362948972505,18.073168402856478,0.7853981633974483,45.0,0.4699618685,26.9268315971,13.8510929843,10.6763348055,3.1747581788,22.920633,0.4699618685001978,26.926831597143522,1.000000,8.000000,5.4486699283,5.4091650834,0.0395048449,0.725036,9.2371918559,9.1730656658,0.0641261901,0.694217
3,3,52,104,105,2.1830458156955332,0.19823323431226986,0.8967021889387785,0.3245326280593872,4.353213635187529,3.0748637758882547,1.315854694616316,1.307899024196462,0.8751467914990709,2.1965571001451276,0.20247618591192787,0.8960628630069714,0.3209482431411743,4.351661572657138,3.0988406842612277,1.3460327290327927,1.32065380196024,0.8759032981848875,0.02397690837297306,0.030178034416476596,elongated,post,post_mean,axis_like,3.0988406842612277,177.55049259160046,0.742646194068883,42.55049259160047,0.0427519693285654,2.449507408399541,2.356194490192345,135.0,-0.7426461941,-42.5504925916,13.8510929843,13.8110738189,0.0400191653,0.288924,-0.742646194068883,-42.55049259160047,1.000000,8.000000,5.4486699283,4.9399822689,0.5086876594,9.335997,9.2371918559,8.8899617463,0.3472301096,3.759044
3,4,40,80,81,0.7523854754584435,0.9673359082611507,0.9959120724320504,0.3960374593734741,13.538766680473426,2.8996460131699435,2.902821082759751,0.740097481362251,0.012287994096192544,5.451821342309226,0.7215308638684987,0.9703786770196438,0.2429647445678711,13.364084234603313,-3.1012700569100278,1.5504361486447336,4.692739352541521,0.759081989767705,0.2822692370996152,1.3523849341150174,elongated,post,post_mean,axis_like,-3.1012700569100278,-177.68968539124123,0.7450755667176829,42.68968539124122,0.04032259667976514,2.310314608758769,-2.356194490192345,-135.0,0.7450755667,42.6896853912,29.4740769170,19.2595507242,10.2145261928,34.655966,0.7450755667176829,42.68968539124122,1.000000,8.000000,7.3148616586,6.8630256082,0.4518360505,6.176960,9.8259763810,9.5957701909,0.2302061901,2.342833
3,4,44,88,89,0.427351480488364,0.9517981654075756,0.9958854679581711,0.6997108459472656,10.170377650851867,-0.49352996500633856,2.674806792226282,0.417051917801176,0.01029956268718804,0.9432076237314444,0.15026731198888213,0.9909188142372662,0.5563410520553589,10.14498498387777,-0.36947196726621573,0.844149880159573,0.5424704489985699,0.4007371747328745,0.12405799774012283,1.3109357415230842,elongated,post,post_mean,intermediate,-0.36947196726621573,-21.169184372749864,0.4159261961312325,23.830815627250132,0.36947196726621573,21.169184372749864,-0.7853981633974483,-45.0,-0.6238892942,-35.7462234409,29.4740769170,29.3096925196,0.1643843974,0.557725,-0.4159261961312325,-23.830815627250132,1.500000,8.000000,7.3148616586,7.0616052276,0.2532564311,3.462218,9.8259763810,9.7124341140,0.1135422670,1.155532
3,5,40,80,81,1.0141714553813879,0.9243466278201158,0.9917480390712498,0.20189273357391357,11.040221459324991,1.458183223514515,1.3536221116671887,0.9758087100977586,0.03836274528362926,4.192888975880057,0.5454587591209006,0.9658839147912195,0.3095780611038208,10.895309032858606,1.7412155867054975,-3.0418825959868965,3.2399684968979208,0.9529204789821357,0.28303236319098257,1.2539120540642923,elongated,post,post_mean,axis_like,1.7412155867054975,99.76430434062046,0.6149789034868474,35.23569565937954,0.17041925991060092,9.764304340620459,2.356194490192345,135.0,0.6149789035,35.2356956594,19.2842993958,13.0046871511,6.2796122447,32.563341,0.6149789034868474,35.23569565937954,1.000000,8.000000,6.0651480757,5.4796286089,0.5855194668,9.653836,9.3214336658,9.1770944750,0.1443391908,1.548466
3,5,63,126,127,1.119951530964458,0.7226027325577661,0.9220787038152657,0.5774849653244019,3.640453814544385,-1.1638914830772917,-3.1341476026334405,0.964615783786176,0.15533574717828222,1.1204921140586444,0.7229967991745504,0.9220410892456249,0.5798206329345703,3.6403794866447874,-1.161346330787652,-3.131672340873649,0.9653021630120462,0.15518995104659805,0.002545152289639807,0.0024752617597916253,elongated,post,post_mean,intermediate,-1.161346330787652,-66.54024330713648,0.37594816739020365,21.540243307136475,0.40944999600724463,23.459756692863525,-0.7853981633974483,-45.0,0.0000000000,0.0000000000,19.2842993958,19.1936819104,0.0906174854,0.469903,0.37594816739020365,21.540243307136475,0.000000,8.000000,6.0651480757,6.0651480757,0.0000000000,0.000000,9.3214336658,9.3214336658,0.0000000000,0.000000
3,6,39,78,79,1.3329230538338794,0.9115766554813884,0.9885128469326312,0.09552323818206787,10.709951264951144,-1.6215400351883453,1.4032784864240584,1.2739922966313588,0.05893075720252055,5.712740213105074,0.5605549944620348,0.9507675032459404,0.4449862241744995,10.503486260612503,-1.2733204886465925,-2.917352827170031,4.4575226358128965,1.2552175772921774,0.3482195465417528,1.179038660004296,elongated,post,post_mean,intermediate,-1.2733204886465925,-72.95588996698541,0.48792232524914425,27.95588996698541,0.29747583814830403,17.04411003301459,-0.7853981633974483,-45.0,0.4879223252,27.9558899670,16.9032750362,12.7939714470,4.1093035892,24.310695,0.48792232524914425,27.95588996698541,1.000000,8.000000,5.6330944717,5.1915272287,0.4415672430,7.838804,8.9815184736,8.7585008158,0.2230176578,2.483073
3,7,40,80,81,1.52166516775959,0.9429551052129828,0.9933395127056227,0.3153741955757141,15.064523634367811,1.3850116707653026,1.2739359423222718,1.4782635530621042,0.043401614697485866,7.38505599589704,0.5999248429567555,0.967674835429213,0.2623082995414734,14.86864004195687,1.668105953776452,-3.1150084339628528,5.907767277231509,1.4772887186655312,0.28309428301114936,1.247351722695331,elongated,post,post_mean,axis_like,1.668105953776452,95.57543093203549,0.6880885364158928,39.42456906796451,0.09730962698155543,5.575430932035487,2.356194490192345,135.0,0.6880885364,39.4245690680,36.1876985571,24.1354210531,12.0522775040,33.304902,0.6880885364158928,39.42456906796451,1.000000,8.000000,6.6634700242,5.7941021633,0.8693678609,13.046774,9.6293803369,9.1151913960,0.5141889409,5.339793
