layer,head,bucket_index,bucket_pair_lo,bucket_pair_hi,bucket_pairs,base_alpha,chosen_bucket_alpha,residual_gamma,head_fakeq_err_before,head_fakeq_err_after,head_fakeq_err_delta,head_fakeq_err_gain_pct
13,3,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.67531961491019,4.558929806042411,0.11638980886777972,2.4894513841705663
13,4,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.611406601896947,4.3862601822778,0.22514641961914705,4.882380563156822
13,4,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.611406601896947,4.4463597181095995,0.16504688378734755,3.579100652704403
13,4,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.611406601896947,4.551213411440662,0.06019319045628535,1.3053108444508947
13,4,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.611406601896947,4.525553622112741,0.08585297978420581,1.8617525452838912
13,5,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.615921296466175,4.465402469549429,0.15051882691674656,3.2608620738828393
13,5,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.615921296466175,4.562688461247315,0.053232835218860686,1.1532439961576968
13,5,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.615921296466175,4.533560174006736,0.0823611224594396,1.7842835085271722
13,5,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.615921296466175,4.421647483453647,0.19427381301252833,4.20877654827562
13,6,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.113780602637064,4.9739975522300055,0.13978305040705852,2.733458106023858
13,6,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.113780602637064,5.06449094828424,0.049289654352824286,0.9638593866816793
13,6,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.113780602637064,5.030616292808139,0.0831643098289252,1.6262784090901201
13,6,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.113780602637064,5.051911920416413,0.06186868222065112,1.2098423266095304
13,7,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.122917410688011,5.011607003979629,0.1113104067083821,2.1727933086751254
13,7,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.122917410688011,5.051803062257838,0.07111434843017328,1.3881611341577842
13,7,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.122917410688011,5.03216592031084,0.0907514903771709,1.771480644755952
13,7,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.122917410688011,5.061873361035984,0.061044049652027255,1.1915876200672344
14,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.64618289844611,4.483029998854939,0.16315289959117063,3.511547073313369
14,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.64618289844611,4.561214605426147,0.08496829301996289,1.8287763283787228
14,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.64618289844611,4.535322458871097,0.11086043957501257,2.386054143759369
14,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.64618289844611,4.413222613018145,0.2329602854279651,5.014014525899903
14,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.386450992082824,4.23096480001269,0.1554861920701338,3.5446923344355916
14,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.386450992082824,4.307216345858268,0.07923464622455612,1.8063497430512276
14,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.386450992082824,4.1673240338437125,0.21912695823911132,4.995541011050097
14,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.386450992082824,4.298927299371397,0.0875236927114269,1.995319060201512
14,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.674453146304082,5.46541867755951,0.209034468744572,3.683781738170162
14,2,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.674453146304082,5.662619963272929,0.011833183031153105,0.20853433319579637
14,2,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.674453146304082,5.607785563603843,0.06666758270023898,1.1748723794408507
14,2,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.674453146304082,5.643199247732488,0.03125389857159444,0.5507825646943778
14,3,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.5557822922772075,4.387677336591247,0.16810495568596018,3.689925130332181
14,3,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.5557822922772075,4.477613116114658,0.07816917616254937,1.7158233459719716
14,3,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.5557822922772075,4.428141312303225,0.12764097997398238,2.8017357236397054
14,3,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.5557822922772075,4.384403044180035,0.17137924809717298,3.7617962646654273
14,4,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.8170664332391375,4.728645420876523,0.08842101236261435,1.835578013881728
14,4,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.8170664332391375,4.7437867206060815,0.073279712633056,1.5212518583386145
14,4,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.8170664332391375,4.7256151027665325,0.09145133047260501,1.898485971494282
14,4,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.8170664332391375,4.618482012778877,0.1985844204602607,4.122517785720607
14,5,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.615359302532807,4.492509071174403,0.12285023135840323,2.661769611111008
14,5,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.615359302532807,4.55904974989413,0.05630955263867676,1.2200469984595854
14,5,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.615359302532807,4.521462751140391,0.09389655139241526,2.034436437936412
14,5,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.615359302532807,4.445290071812828,0.17006923071997893,3.6848535416657313
14,6,0,32,39,"32,33,34,35,36,37,38,39",8.0,6.400000095367432,0.800000011920929,6.052841744309589,6.03190097614614,0.02094076816344881,0.34596589582299403
14,6,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.052841744309589,6.034140666505946,0.01870107780364272,0.3089636007950153
14,6,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.052841744309589,6.020214419017068,0.03262732529252066,0.5390414398855601
14,6,3,56,63,"56,57,58,59,60,61,62,63",8.0,6.400000095367432,0.800000011920929,6.052841744309589,6.007563998182257,0.04527774612733193,0.7480411357177568
14,7,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.355558744181601,4.183358561244885,0.17220018293671568,3.953572734307632
14,7,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.355558744181601,4.250419915929656,0.10513882825194543,2.413899901875867
14,7,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.355558744181601,4.183409348905977,0.1721493952756239,3.952406691921919
14,7,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.355558744181601,4.204636477032102,0.1509222671494994,3.4650495151996243
15,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.143572277952264,5.008799115260729,0.13477316269153494,2.6202249216801174
15,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.143572277952264,5.103970315010158,0.03960196294210583,0.769931106283044
15,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.143572277952264,5.08061199981584,0.06296027813642358,1.2240574202932955
15,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.143572277952264,5.087750846911151,0.05582143104111292,1.0852658040869663
15,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.0875311468579465,4.975650887137811,0.11188025972013538,2.199107120734435
15,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.0875311468579465,5.051412835036927,0.036118311821019766,0.7099379006913087
15,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.0875311468579465,4.892615516134555,0.1949156307233917,3.831242013010011
15,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.0875311468579465,5.016012412828033,0.07151873402991349,1.4057650354452056
15,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.951665712064143,4.783174043473716,0.16849166859042697,3.4027270496050877
15,2,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.951665712064143,4.901248636905513,0.05041707515862992,1.0181841442929949
15,2,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.951665712064143,4.756816892902114,0.19484881916202923,3.93501561883112
15,2,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.951665712064143,4.855183003862741,0.09648270820140237,1.9484899387762336
15,3,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.138324024675891,4.938892918601256,0.19943110607463588,3.8812481485578427
15,3,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.138324024675891,5.029984286873775,0.10833973780211625,2.108464497019531
15,3,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.138324024675891,5.071392015692963,0.06693200898292861,1.3026038969418723
15,3,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.138324024675891,5.113009668001374,0.025314356674517313,0.4926578501657271
15,4,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.693786199538816,4.53956831344808,0.15421788609073595,3.285575429615616
15,4,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.693786199538816,4.583089901517964,0.11069629802085235,2.3583583340828076
15,4,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.693786199538816,4.592032389228036,0.10175381031077979,2.167840757654823
15,4,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.693786199538816,4.483242475244556,0.2105437242942596,4.485584032671672
15,5,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.716431350098545,4.603942052338681,0.11248929775986394,2.3850510992280975
15,5,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.716431350098545,4.628527322858257,0.08790402724028823,1.8637826084005562
15,5,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.716431350098545,4.608921369766952,0.10750998033159309,2.2794772647193686
15,5,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.716431350098545,4.637531743313813,0.07889960678473162,1.6728666427654693
15,6,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.813432895642763,4.626491318251018,0.1869415773917451,3.883747451033735
15,6,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.813432895642763,4.756704576762202,0.05672831888056162,1.17854180395687
15,6,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.813432895642763,4.7438200625983535,0.06961283304440968,1.4462200793829476
15,6,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.813432895642763,4.673757643678084,0.1396752519646789,2.901780392349841
15,7,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.059217104027112,4.9689962146191,0.09022088940801165,1.7832974460850133
15,7,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.059217104027112,5.034060579209758,0.025156524817353976,0.4972414565354293
15,7,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.059217104027112,5.017927369829006,0.041289734198105776,0.8161289256639995
15,7,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.059217104027112,4.947888276059452,0.11132882796766008,2.2005149349895046
16,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.271955385901421,5.053204721219904,0.21875066468151694,4.149326932214052
16,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.271955385901421,5.178229258648211,0.09372612725320995,1.777824742293115
16,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.271955385901421,5.176325602477085,0.09562978342433581,1.813933852324978
16,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.271955385901421,5.190382329668986,0.08157305623243527,1.5473017175104102
16,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.871331194821851,4.7900426534008655,0.08128854142098518,1.6687130923759328
16,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.871331194821851,4.664231548191599,0.20709964663025193,4.251397376766245
