layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,residual_gamma,final_dim0,final_dim1,dominant_channel
11,5,49,-40.87576992687497,7.236781597137451,1.1054637883730585,5.638840198516846,5.227330207824707,6.233533647882721,5.778624254618828,1.283381217123497,7.999999999999999,7.416177829192072,0
11,5,50,4.542231334805755,8.056097030639648,0.9930366987355917,5.174806118011475,5.752335548400879,5.138772384026858,5.712280303003398,1.4004914982539927,7.196807035292016,8.000000000000002,1
11,5,51,38.48180541167182,6.002442359924316,1.3327908075240342,4.352494716644287,4.765964508056641,5.8009649481404315,6.352033685323697,1.2594391648904366,7.30596244984468,7.999999999999998,1
11,5,52,-17.42515632007872,7.409759998321533,1.0796571011493177,5.909427642822266,4.121802806854248,6.380155518301133,4.450133669957379,1.2538879306393755,8.0,5.579968898491467,0
11,5,53,-13.453474973159606,8.53183650970459,0.9376644748056706,6.200826644897461,4.48681640625,5.814294859348786,4.207128349115873,1.375919211791749,7.999999999999999,5.7886687220222335,0
11,5,54,-8.49896798777313,9.406464576721191,0.850478937623189,7.719511032104492,5.456307888031006,6.565281541554716,4.640474935957636,1.2185311398093568,7.999999999999998,5.65456321296921,0
11,5,55,8.869108786371262,4.588432788848877,1.7435146962252879,3.6198296546936035,3.488389492034912,6.311226200790407,6.082058345520736,1.2675825181163836,8.0,7.7095108329459405,0
11,5,56,28.195146206924264,7.370177745819092,1.0854555040464513,6.124684810638428,5.767041206359863,6.648072838257178,6.259866619506,1.2033562499440418,8.000000000000002,7.532849620398626,0
11,5,57,-23.94481408271534,8.027142524719238,0.9966186566844112,5.4080400466918945,6.071111679077148,5.389753606629577,6.050583166182908,1.3221866025596518,7.12626000978319,8.0,1
11,5,58,44.95645160832822,9.97984504699707,0.8016156525804171,7.674211502075195,6.789511680603027,6.151768061276151,5.44257883654896,1.3004391453504252,8.0,7.077742570704042,0
11,5,59,-5.921807021978252,5.838386058807373,1.3702416934097343,4.900650978088379,3.753695011138916,6.7150762950258915,5.14346940860666,1.1913490850321238,8.0,6.127667573834263,0
11,5,60,-32.84818975076516,8.580449104309082,0.9323521301446119,6.17685604095459,5.053243637084961,5.759004887380626,4.711402469175869,1.3891288784161195,7.999999999999999,6.544745227773212,0
11,5,61,6.9683777454846965,8.369600296020508,0.9558401497146475,6.294918537139893,4.972787380218506,6.016935876981305,4.753189834007166,1.329580398322875,7.999999999999999,6.319748032803488,0
11,5,62,43.07129268850266,12.742132186889648,0.6278384090404573,11.16077995300293,10.432845115661621,7.007166329343989,6.550140879182498,1.1416883264920243,7.999999999999999,7.478219378640863,0
11,5,63,38.532404146684776,7.76291036605835,1.0305413334383293,6.064464092254639,5.968088150024414,6.2496809122209624,6.150361520203652,1.280065352513657,8.0,7.872864687445919,0
11,6,32,-11.873644162597442,6.228792667388916,1.2843580493350353,4.10193395614624,4.032833576202393,5.268351894417129,5.17960226522414,1.5185014517495685,8.0,7.8652335592282085,0
11,6,33,-22.871565953395827,6.68718147277832,1.1963186631865463,3.9028549194335938,3.6676294803619385,4.669058179827833,4.3876535970101616,1.7134076492263781,7.999999999999998,7.517839235272843,0
11,6,34,-13.132776163584408,5.010744571685791,1.5965691097497947,3.7427151203155518,3.5527782440185547,5.975503347689297,5.672255998191143,1.3387993503666211,7.999999999999999,7.594012645491472,0
