layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg
0,5,32,64,65,0.556549958,0.57484381,0.716097069,0.409170687,1.18482194,1.693391165,1.981510065,0.438239628,0.11831033,0.621432303,0.39287949,0.682999754,0.608726978,1.157117298,2.02329654,2.378932649,0.432790155,0.188642148,0.329905375,0.397422583,compact_cluster,mean,axis_like,1.693391165,97.02416682,0.662803325,37.97583318,0.122594838,7.024166821,2.35619449,135,0.662803325,37.97583318
0,5,37,74,75,0.555809142,0.868632666,0.5922886,0.424688458,0.898572457,1.743139605,1.489401717,0.519301559,0.036507583,0.561527751,0.845523688,0.58809372,0.489724815,0.895384716,1.85840099,1.600021905,0.518156383,0.043371368,0.115261385,0.110620188,elongated,pca,axis_like,1.489401717,85.33643238,0.704003554,40.33643238,0.08139461,4.663567622,0.785398163,45,-0.704003554,-40.33643238
0,5,38,76,77,0.950600165,0.986433955,0.964498965,0.042765439,5.081937451,0.002331541,3.048230688,0.944152223,0.006447942,1.044001282,0.799475624,0.961010812,0.182399094,5.07273949,0.098096259,3.136353534,0.939327429,0.104673853,0.095764718,0.088122846,elongated,pca,axis_like,3.048230688,174.6507534,0.692036198,39.65075341,0.093361966,5.349246594,2.35619449,135,-0.692036198,-39.65075341
0,5,39,78,79,0.865283408,0.981936031,0.95302165,0.073003292,4.189688082,-1.605813346,1.498048206,0.857468181,0.007815226,0.905897409,0.885382222,0.950816615,0.105135918,4.184838306,-1.527791893,1.574642652,0.853981435,0.051915974,0.078021454,0.076594446,elongated,pca,axis_like,1.498048206,85.8318397,0.712650042,40.8318397,0.072748121,4.168160301,0.785398163,45,-0.712650042,-40.8318397
0,5,41,82,83,0.597946682,0.912012412,0.900792188,0.201046407,2.330078749,1.464866395,1.450632987,0.571640739,0.026305943,0.60402702,0.889954194,0.899783373,0.148581564,2.328773626,1.516409504,1.499253738,0.5707917,0.03323532,0.051543108,0.048620751,elongated,pca,axis_like,1.450632987,83.11514775,0.665234823,38.11514775,0.12016334,6.88485225,0.785398163,45,-0.665234823,-38.11514775
0,6,32,64,65,0.96832349,0.800766684,0.888545436,0.299564242,2.778440661,0.151185633,-3.014895034,0.87186234,0.09646115,1.301883717,0.289848092,0.850152453,0.638752818,2.717751131,0.477873975,-2.729942642,0.839616114,0.462267603,0.326688342,0.284952392,elongated,pca,axis_like,-3.014895034,-172.7407611,0.658700543,37.7407611,0.12669762,7.259238903,-2.35619449,-135,0.658700543,37.7407611
0,6,39,78,79,0.956301934,0.932362165,0.993462311,0.061606824,12.05483028,3.109472484,3.020503789,0.923960838,0.032341096,1.309434146,0.412113366,0.991048148,0.102339149,12.04017428,-3.095892603,3.048022354,0.92453473,0.384899416,0.07782022,0.027518565,elongated,pca,axis_like,3.020503789,173.0621191,0.664309299,38.06211912,0.121088864,6.937880876,2.35619449,135,-0.664309299,-38.06211912
0,6,40,80,81,0.721258881,0.756883234,0.933658433,0.151580274,3.186007078,0.038742873,3.087099581,0.633583817,0.087675063,0.73538035,0.716448764,0.932359536,0.215351045,3.183790107,0.10187675,-3.141577046,0.631121347,0.104259004,0.063133877,0.05450868,elongated,pca,axis_like,3.087099581,176.8777769,0.730905091,41.87777695,0.054493072,3.122223052,2.35619449,135,-0.730905091,-41.87777695
0,6,52,104,105,2.161974247,0.712528207,0.503654882,0.677709937,1.481152939,-2.977907651,1.670187235,1.851220941,0.310753307,2.162082468,0.712556303,0.503630047,0.676775515,1.481116438,-2.972424889,1.675452222,1.851343979,0.310738489,0.005482761,0.005264987,elongated,pca,axis_like,1.670187235,95.69467958,0.686007255,39.30532042,0.099390909,5.694679581,2.35619449,135,0.686007255,39.30532042
0,6,53,106,107,1.989298092,0.609232632,0.461839757,0.64125824,1.306591371,-0.222193194,1.66768996,1.600621702,0.38867639,1.989257548,0.609176554,0.461850727,0.640978336,1.306606891,-0.217772262,1.671830617,1.600533303,0.388724245,0.004420932,0.004140656,elongated,pca,axis_like,1.66768996,95.55159627,0.68850453,39.44840373,0.096893634,5.551596271,2.35619449,135,0.68850453,39.44840373
