layer,head,tokens,stage,top_setter_dim,top_setter_dim_freq,top_setter_dim_frac_pct,top_setter_pair,top_setter_pair_freq,top_setter_pair_frac_pct,early_pair_tokens,late_pair_tokens,early_pair_frac_pct,late_pair_frac_pct,block0_frac_pct,block1_frac_pct,block2_frac_pct,block3_frac_pct,top_dims,top_pairs
23,7,20480,post,78,20356,99.39453125,39,20356,99.39453125,0,20480,0.0,100.0,0.0,0.0,99.39453125,0.60546875,78:20356;103:123;122:1,39:20356;51:123;61:1
24,0,20480,post,96,20480,100.0,48,20480,100.0,0,20480,0.0,100.0,0.0,0.0,0.0,100.0,96:20480,48:20480
24,1,20480,post,88,20480,100.0,44,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,88:20480,44:20480
24,2,20480,post,91,20480,100.0,45,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,91:20480,45:20480
24,3,20480,post,80,20463,99.9169921875,40,20463,99.9169921875,0,20480,0.0,100.0,0.0,0.0,99.9169921875,0.0830078125,80:20463;127:17,40:20463;63:17
24,4,20480,post,76,10143,49.5263671875,38,11331,55.3271484375,56,20424,0.2734375,99.7265625,0.0,0.2734375,72.1875,27.5390625,76:10143;122:4327;66:3331;77:1188;101:351;111:189;115:179;116:96,38:11331;61:4333;33:3416;50:351;55:245;57:190;58:126;60:90
24,5,20480,post,85,19784,96.6015625,42,19784,96.6015625,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,97.63671875,2.3583984375,85:19784;113:273;73:108;72:52;90:40;115:40;126:25;105:17,42:19784;56:279;36:160;45:40;57:40;63:26;61:20;50:20
24,6,20480,post,79,13868,67.71484375,39,13875,67.7490234375,148,20332,0.72265625,99.27734375,0.0,0.72265625,74.19921875,25.078125,79:13868;102:1801;110:1451;68:1212;113:1063;125:107;119:96;45:89,39:13875;51:1801;55:1486;34:1253;56:1070;22:148;62:138;59:135
24,7,20480,post,100,10495,51.2451171875,50,10495,51.2451171875,0,20480,0.0,100.0,0.0,0.0,40.966796875,59.033203125,100:10495;77:8220;103:1595;76:170,50:10495;38:8390;51:1595
25,0,20480,post,124,10008,48.8671875,62,10008,48.8671875,0,20480,0.0,100.0,0.0,0.0,48.310546875,51.689453125,124:10008;76:9340;77:551;127:529;100:47;67:3;112:1;115:1,62:10008;38:9891;63:529;50:47;33:3;56:1;57:1
25,1,20480,post,79,13591,66.3623046875,39,13596,66.38671875,783,19697,3.8232421875,96.1767578125,0.0,3.8232421875,77.666015625,18.5107421875,79:13591;70:1903;118:1228;121:683;44:473;96:466;45:310;71:174,39:13596;35:2077;59:1319;22:783;60:714;48:561;49:167;51:117
25,2,20480,post,81,20409,99.6533203125,40,20409,99.6533203125,0,20480,0.0,100.0,0.0,0.0,99.6533203125,0.3466796875,81:20409;118:71,40:20409;59:71
25,3,20480,post,77,9501,46.3916015625,38,11101,54.2041015625,2340,18140,11.42578125,88.57421875,0.0,11.42578125,65.0830078125,23.4912109375,77:9501;71:1656;76:1600;44:1322;45:1018;122:1002;123:810;113:512,38:11101;22:2340;35:1824;61:1812;60:526;56:515;52:401;63:319
25,4,20480,post,85,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,85:20480,42:20480
25,5,20480,post,79,15180,74.12109375,39,15180,74.12109375,0,20480,0.0,100.0,0.0,0.0,74.12109375,25.87890625,79:15180;126:5300,39:15180;63:5300
25,6,20480,post,84,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,84:20480,42:20480
25,7,20480,post,88,20480,100.0,44,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,88:20480,44:20480
26,0,20480,post,86,20480,100.0,43,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,86:20480,43:20480
26,1,20480,post,92,20464,99.921875,46,20464,99.921875,0,20480,0.0,100.0,0.0,0.0,99.921875,0.078125,92:20464;110:15;119:1,46:20464;55:15;59:1
26,2,20480,post,119,14922,72.861328125,59,14922,72.861328125,0,20480,0.0,100.0,0.0,0.0,0.6201171875,99.3798828125,119:14922;114:5401;66:48;74:39;67:36;107:23;121:5;89:2,59:14922;57:5401;33:84;37:41;53:23;60:5;44:2;48:1
26,3,20480,post,123,5946,29.033203125,37,7896,38.5546875,250,20230,1.220703125,98.779296875,0.0,1.220703125,46.8896484375,51.8896484375,123:5946;74:4825;75:3071;126:2561;66:1506;122:1013;44:150;102:145,37:7896;61:6959;63:2576;33:1519;22:250;55:227;51:156;62:145
26,4,20480,post,83,20446,99.833984375,41,20446,99.833984375,0,20480,0.0,100.0,0.0,0.0,99.833984375,0.166015625,83:20446;104:23;110:11,41:20446;52:23;55:11
26,5,20480,post,78,18961,92.5830078125,39,18961,92.5830078125,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,78:18961;91:1519,39:18961;45:1519
26,6,20480,post,80,20413,99.6728515625,40,20413,99.6728515625,0,20480,0.0,100.0,0.0,0.0,99.6728515625,0.3271484375,80:20413;118:64;106:3,40:20413;59:64;53:3
26,7,20480,post,86,20166,98.466796875,43,20166,98.466796875,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,99.1552734375,0.83984375,86:20166;125:152;71:85;70:55;105:5;106:3;126:2;115:2,43:20166;62:152;35:140;52:7;63:3;53:3;57:2;49:2
27,0,20480,post,90,20469,99.9462890625,45,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,90:20469;91:11,45:20480
27,1,20480,post,106,8130,39.697265625,53,8259,40.3271484375,691,19789,3.3740234374999996,96.6259765625,0.0,3.3740234375,39.462890625,57.1630859375,106:8130;74:4022;75:2467;66:1216;126:694;113:409;122:396;44:394,53:8259;37:6489;33:1275;63:846;22:691;61:552;56:466;57:211
27,2,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;126:11,40:20469;63:11
27,3,20480,post,80,20345,99.3408203125,40,20345,99.3408203125,0,20480,0.0,100.0,0.0,0.0,99.3408203125,0.6591796875,80:20345;103:114;113:21,40:20345;51:114;56:21
27,4,20480,post,94,20456,99.8828125,47,20467,99.9365234375,0,20480,0.0,100.0,0.0,0.0,99.9365234375,0.0634765625,94:20456;116:13;95:11,47:20467;58:13
27,5,20480,post,83,18819,91.8896484375,41,18819,91.8896484375,2,20478,0.009765625,99.990234375,0.0,0.009765625,93.02734375,6.962890625,83:18819;124:559;96:169;108:134;90:120;119:60;115:57;120:46,41:18819;62:577;48:188;54:145;45:123;59:80;57:64;60:55
27,6,20480,post,84,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,84:20480,42:20480
27,7,20480,post,109,19194,93.720703125,54,19194,93.720703125,0,20480,0.0,100.0,0.0,0.0,6.2744140625,93.7255859375,109:19194;76:1284;89:1;122:1,54:19194;38:1284;44:1;61:1
28,0,20480,post,81,20180,98.53515625,40,20180,98.53515625,0,20480,0.0,100.0,0.0,0.0,98.53515625,1.46484375,81:20180;113:298;124:2,40:20180;56:298;62:2
28,1,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;123:11,40:20469;61:11
28,2,20480,post,85,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,85:20480,42:20480
28,3,20480,post,83,19597,95.6884765625,41,19597,95.6884765625,10,20470,0.048828125,99.951171875,0.0,0.048828125,96.1181640625,3.8330078125,83:19597;125:524;112:206;69:54;126:31;68:28;117:8;63:5,41:19597;62:526;56:206;34:82;63:32;58:8;31:8;48:5
28,4,20480,post,78,12169,59.4189453125,39,12169,59.4189453125,0,20480,0.0,100.0,0.0,0.0,59.4189453125,40.5810546875,78:12169;119:8305;110:6,39:12169;59:8305;55:6
28,5,20480,post,122,12883,62.9052734375,61,12883,62.9052734375,0,20480,0.0,100.0,0.0,0.0,37.0947265625,62.9052734375,122:12883;78:7597,61:12883;39:7597
28,6,20480,post,79,10519,51.3623046875,39,10519,51.3623046875,0,20480,0.0,100.0,0.0,0.0,51.3671875,48.6328125,79:10519;112:9960;66:1,39:10519;56:9960;33:1
28,7,20480,post,93,20366,99.443359375,46,20366,99.443359375,0,20480,0.0,100.0,0.0,0.0,99.9853515625,0.0146484375,93:20366;76:111;98:3,46:20366;38:111;49:3
29,0,20480,post,91,20456,99.8828125,45,20467,99.9365234375,0,20480,0.0,100.0,0.0,0.0,99.9365234375,0.0634765625,91:20456;90:11;97:11;109:1;121:1,45:20467;48:11;54:1;60:1
29,1,20480,post,83,20469,99.9462890625,41,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,83:20469;114:11,41:20469;57:11
29,2,20480,post,79,15625,76.2939453125,39,15625,76.2939453125,0,20480,0.0,100.0,0.0,0.0,76.396484375,23.603515625,79:15625;126:4770;111:60;67:12;95:8;100:4;66:1,39:15625;63:4770;55:60;33:13;47:8;50:4
29,3,20480,post,94,20469,99.9462890625,47,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,94:20469;95:11,47:20480
29,4,20480,post,98,20476,99.98046875,49,20476,99.98046875,0,20480,0.0,100.0,0.0,0.0,0.0,100.0,98:20476;119:4,49:20476;59:4
29,5,20480,post,93,12312,60.1171875,46,12313,60.1220703125,6,20474,0.029296875,99.970703125,0.0,0.029296875,69.2529296875,30.7177734375,93:12312;107:6166;77:1693;76:170;124:46;117:27;104:13;106:11,46:12313;53:6177;38:1863;62:46;58:27;52:14;61:10;22:6
29,6,20480,post,83,20480,100.0,41,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,83:20480,41:20480
29,7,20480,post,84,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,84:20480,42:20480
30,0,20480,post,122,12957,63.2666015625,61,12958,63.271484375,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,29.8779296875,70.1171875,122:12957;77:5399;96:1389;67:519;76:156;66:45;113:9;123:1,61:12958;38:5555;48:1389;33:564;56:9;52:1;62:1;22:1
30,1,20480,post,93,20469,99.9462890625,46,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,93:20469;92:11,46:20480
30,2,20480,post,85,20387,99.5458984375,42,20387,99.5458984375,0,20480,0.0,100.0,0.0,0.0,99.5458984375,0.4541015625,85:20387;107:61;126:32,42:20387;53:61;63:32
30,3,20480,post,89,20210,98.681640625,44,20236,98.80859375,4,20476,0.01953125,99.98046875,0.0,0.01953125,99.6142578125,0.3662109375,89:20210;95:110;73:29;88:26;103:18;72:15;121:7;104:6,44:20236;47:110;36:44;51:18;58:7;60:7;55:6;52:6
30,4,20480,post,78,18230,89.013671875,39,18230,89.013671875,3,20477,0.0146484375,99.9853515625,0.0,0.0146484375,91.6552734375,8.330078125,78:18230;117:954;66:403;99:383;118:98;109:90;67:72;114:59,39:18230;58:955;33:475;49:391;59:99;54:94;57:59;44:41
30,5,20480,post,79,17849,87.1533203125,39,17849,87.1533203125,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,87.28515625,12.7099609375,79:17849;106:1269;112:1255;120:25;67:20;102:16;121:12;110:7,39:17849;53:1269;56:1255;60:37;33:26;51:18;55:7;54:6
30,6,20480,post,83,20428,99.74609375,41,20428,99.74609375,0,20480,0.0,100.0,0.0,0.0,99.7509765625,0.2490234375,83:20428;119:45;105:2;101:1;107:1;112:1;116:1;84:1,41:20428;59:45;52:2;50:1;53:1;56:1;58:1;42:1
30,7,20480,post,125,19228,93.88671875,62,19228,93.88671875,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,5.966796875,94.0283203125,125:19228;77:1155;76:54;127:20;67:12;126:6;112:1;85:1,62:19228;38:1209;63:26;33:12;56:2;42:1;22:1;50:1
31,0,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;115:11,40:20469;57:11
31,1,20480,post,82,20469,99.9462890625,41,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,82:20469;123:11,41:20469;61:11
31,2,20480,post,81,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,81:20469;115:11,40:20469;57:11
31,3,20480,post,86,20469,99.9462890625,43,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,86:20469;116:11,43:20469;58:11
31,4,20480,post,79,20360,99.4140625,39,20360,99.4140625,0,20480,0.0,100.0,0.0,0.0,99.453125,0.546875,79:20360;100:68;116:21;124:15;103:4;80:3;76:2;77:2,39:20360;50:68;58:21;62:15;51:4;38:4;40:3;61:2
31,5,20480,post,80,20403,99.6240234375,40,20403,99.6240234375,0,20480,0.0,100.0,0.0,0.0,99.6240234375,0.3759765625,80:20403;125:60;117:12;110:2;101:2;96:1,40:20403;62:60;58:12;55:2;50:2;48:1
31,6,20480,post,78,20469,99.9462890625,39,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,78:20469;125:11,39:20469;62:11
31,7,20480,post,80,20469,99.9462890625,40,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,99.9462890625,0.0537109375,80:20469;116:11,40:20469;58:11
