model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
rot_noclip_rpn,post,1,4,20480,6.284134864807129,6.248573303222656,6.920967102050781,7.499182224273682,7.935496807098389,8.046310424804688,1.8830080032348633,23.05589645802657,1.7746381759643555,22.118800938600945,2.32855224609375,25.174845940085106,2.7403817176818848,26.762679868167538,2.9393887519836426,27.029146523099243,3.555392265319824,30.645435073475987
fireq_rpn,post,1,5,20480,6.832582950592041,6.837625503540039,7.240305423736572,7.6026482582092285,8.00380802154541,8.432801246643066,-0.2755241394042969,-4.201947051842723,-0.2697000503540039,-4.106320211402142,-0.2314920425415039,-3.302870685109215,-0.2225203514099121,-3.015128656576588,-0.3265953063964844,-4.254086978103862,-0.2932014465332031,-3.602160471442904
orig,post,1,5,20480,6.557058811187744,6.567925453186035,7.008813381195068,7.380127906799316,7.677212715148926,8.139599800109863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,5,20480,6.680976867675781,6.671054363250732,7.1398491859436035,7.581064701080322,7.885020732879639,8.107151985168457,-0.12391805648803711,-1.8898420779238156,-0.10312891006469727,-1.5701900211834843,-0.13103580474853516,-1.8695861570534829,-0.20093679428100586,-2.7226736015765076,-0.2078080177307129,-2.706815942726966,0.03244781494140625,0.39864140422442257
fireq_rpn,post,1,6,20480,6.900623321533203,6.8843889236450195,7.417513370513916,8.357083320617676,9.075359344482422,9.805980682373047,-0.27233409881591797,-4.108663482615411,-0.30002450942993164,-4.556620663069681,-0.18198108673095703,-2.515102961240769,0.10410881042480469,1.23042721182101,0.04260730743408203,0.4672895730006471,-0.09144210815429688,-0.9412913177057481
orig,post,1,6,20480,6.628289222717285,6.584364414215088,7.235532283782959,8.46119213104248,9.117966651916504,9.71453857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,6,20480,6.205572605133057,6.228126525878906,6.9199395179748535,7.5243144035339355,7.92331600189209,8.108904838562012,0.4227166175842285,6.377461866561922,0.35623788833618164,5.410361060318807,0.31559276580810547,4.361707659233936,0.9368777275085449,11.072644528083949,1.194650650024414,13.102160773677657,1.6056337356567383,16.528152350106495
fireq_rpn,post,1,7,20480,6.7804765701293945,6.719317436218262,7.590965747833252,8.286842346191406,8.8528413772583,9.705178260803223,-0.10295724868774414,-1.5418487574741464,-0.08715534210205078,-1.3141316642331693,0.11844301223754883,1.5363436538869044,0.1535959243774414,1.8197624276575597,0.053485870361328125,0.6005378970958333,-0.10122203826904297,-1.0539618874099124
orig,post,1,7,20480,6.67751932144165,6.632162094116211,7.709408760070801,8.440438270568848,8.906327247619629,9.60395622253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,7,20480,5.967414855957031,5.938048362731934,6.862875938415527,7.532557010650635,7.874509334564209,8.031195640563965,0.7101044654846191,10.634255496715063,0.6941137313842773,10.46587404731961,0.8465328216552734,10.980515471428955,0.9078812599182129,10.756328413465498,1.03181791305542,11.585223452587499,1.5727605819702148,16.37617400087662
fireq_rpn,post,2,0,20480,11.255578994750977,11.315631866455078,12.509692192077637,13.404391288757324,13.909881591796875,14.64211368560791,-0.07053852081298828,-0.6306505638253925,-0.06818580627441406,-0.6062336810470449,-0.08779335021972656,-0.7067627207193996,-0.18392276763916016,-1.39119704680182,-0.12922382354736328,-0.9377188354905206,-0.19484615325927734,-1.348671316724776
orig,post,2,0,20480,11.185040473937988,11.247446060180664,12.42189884185791,13.220468521118164,13.780657768249512,14.447267532348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,0,20480,5.665349006652832,5.593868255615234,6.534982204437256,7.370271682739258,7.842585563659668,8.12757682800293,5.519691467285156,49.34887343632297,5.65357780456543,50.265436031569806,5.886916637420654,47.39143920238336,5.850196838378906,44.251055316488184,5.938072204589844,43.08990401220977,6.319690704345703,43.743155515016184
fireq_rpn,post,2,1,20480,12.794340133666992,12.792865753173828,14.081989288330078,15.062444686889648,15.584062576293945,16.34378433227539,-0.059169769287109375,-0.4646170219489682,-0.04958629608154297,-0.38911723036840146,-0.10868549346923828,-0.7778081337443696,-0.2073812484741211,-1.3960307159498797,-0.08982372283935547,-0.5797233648513712,-0.13706016540527344,-0.8456993775796632
