method,layer,head,mean_logit_mse,sink_mse,local_mse,long_mse,top1_match_rate,mean_attention_kl,mean_attention_l1,mean_margin_drop,query_count,logit_count
fireq,10,28,5.020256091398693,0.35314888338193307,3.4231372460100356,5.0772118746233295,1.0,0.001695426663260724,0.010893025419363767,0.03718835115432739,32,295552
fireq,11,15,4.90241748913404,0.6459471675244421,4.180283313648441,4.933479878517627,0.65625,0.004295200559965906,0.02380039051058702,-0.04310774803161621,32,295552
fireq,15,28,4.881525160500326,0.4674359790920571,4.027384773713379,4.910199671310134,0.9375,0.0005903949546238185,0.004848256209637886,0.011047989130020142,32,295552
fireq,13,20,4.849105945769078,0.8485499243480153,4.348620410869126,4.856478618618569,0.59375,0.07488358862792666,0.1274684987438377,-0.04387211799621582,32,295552
fireq,18,8,4.812347205578235,0.5417558879167081,3.530890287323064,4.828924336855547,0.96875,0.03469044021786871,0.07894728481642233,0.07912367582321167,32,295552
fireq,22,14,4.810179876686412,1.0726616926496573,3.89620814452628,4.827201099216582,0.96875,0.01824141474418184,0.027565251110218014,-0.009590864181518555,32,295552
fireq,10,25,4.751798247466128,0.2805270172166784,3.488983945886701,4.754476193787195,0.90625,0.13047038487176277,0.1723778536775029,0.13417434692382812,32,295552
fireq,19,3,4.7285915111635015,0.6915080135147554,4.156484008223481,4.728389073476946,0.9375,0.08341429329987271,0.1279276037857926,0.11567792296409607,32,295552
fireq,26,15,4.715680881273893,1.7039102042432368,3.760522051424807,4.740849680130956,1.0,0.015289190465196612,0.028552968998155848,0.05050325393676758,32,295552
fireq,15,0,4.574619569387358,0.8769993983267923,5.281360967880154,4.5522018135086,0.9375,0.04942643626156279,0.08947607289722723,0.21575334668159485,32,295552
fireq,16,0,4.495157249201502,0.460035234936302,3.53804824088927,4.506603826364832,0.96875,0.0010508927866621498,0.006781912214023578,-0.006642282009124756,32,295552
fireq,18,9,4.478304431496918,0.6138431932710883,3.4132538916875634,4.49983710080784,0.9375,0.027739795671987366,0.05410629082692253,0.09576243162155151,32,295552
fireq,15,6,4.448512551084251,0.7181297054023016,2.60679507897525,4.474401706703158,0.9375,0.11451788029008325,0.20071829855928947,-0.052227482199668884,32,295552
fireq,13,9,4.447800702593433,0.8256461586944716,3.5852725476883576,4.448148827860914,0.96875,0.04632035344820906,0.09708461603509022,0.10227322578430176,32,295552
fireq,17,23,4.4197329516054475,0.9264430758664571,3.1987439569205094,4.429920322712486,1.0,0.013727640314694173,0.037654804547969434,0.09115034341812134,32,295552
fireq,13,13,4.3902288310324495,0.8176018902020951,3.784404999978246,4.4039960010418895,1.0,0.008115408758094134,0.02529665433030459,0.05437517166137695,32,295552
fireq,17,3,4.371961674553457,1.198547334197905,3.2254993098540856,4.337346951696155,0.90625,0.11415144953158318,0.14771980792968975,-0.0695497989654541,32,295552
fireq,11,7,4.358679314649372,0.5114752843973401,4.064821263723686,4.385086647683048,0.96875,0.013555425852690206,0.032083397714814055,0.0894995927810669,32,295552
fireq,17,0,4.353226741585643,1.1394142135968437,3.561481624254497,4.343130544417609,0.96875,0.0751225488355658,0.08209458226338029,-0.27763986587524414,32,295552
fireq,15,15,4.322556081477526,0.6793342176621827,3.8203495168695616,4.32891635997934,0.90625,0.10235481623257314,0.13111485849185556,-0.08522266149520874,32,295552
fireq,15,9,4.3192455874626425,0.5760316786066177,3.1864074379512943,4.334478004427334,0.9375,0.042446256949048244,0.06222886900877711,-0.09999889135360718,32,295552
fireq,10,27,4.293293655512105,0.5089407073894472,4.334499728741105,4.29000590753596,0.90625,0.06897940760833121,0.13519764363414843,0.08789652585983276,32,295552
fireq,16,11,4.280038097902777,0.7446632425835779,3.706571870485985,4.280694408074695,0.9375,0.1588104657156464,0.12755517185723875,0.22856497764587402,32,295552
fireq,11,4,4.177736963886866,0.49444342126406265,4.334902301940074,4.17822450658992,1.0,1.3771255642502922e-05,0.0018589322826301213,0.00045931339263916016,32,295552
fireq,16,2,4.141572010418148,0.5259979752689523,2.93524272570905,4.158719844584651,0.96875,0.015576078057562004,0.03215974313479819,0.06058838963508606,32,295552
fireq,24,15,4.1221111468628395,8.277142644420564,10.536463851085902,4.1153628429387865,1.0,0.23111493600117683,0.3172590255671821,-0.3477785587310791,32,295552
fireq,22,13,4.119909057989548,1.3603253506102064,2.959343954819703,4.134497203875769,1.0,0.002227525398097896,0.009375093821631708,-0.015335023403167725,32,295552
fireq,2,21,4.106816723069593,0.1985067038871348,3.4939667065943705,4.104695918612286,0.9375,0.00029737874767832295,0.0018193166927176208,0.009048223495483398,32,295552
fireq,18,20,4.081212172192002,0.491697249334502,2.8923090103744844,4.104137687563659,1.0,0.0023684389777471893,0.0028523680632588366,-0.00012511014938354492,32,295552
fireq,27,7,4.036663691031484,0.9635569013086952,3.725686758196985,4.045384350306215,0.625,0.0014634919593845552,0.02206026981002651,-0.02972167730331421,32,295552
fireq,13,14,4.024605590452059,0.4806094560418351,2.857350917376388,4.012502428028205,0.9375,0.04673237804758301,0.07195085694013414,-0.004243969917297363,32,295552
fireq,29,9,3.9416475397445585,1.315594048990548,3.119645535508277,3.9515845603085027,1.0,0.0026367554386805825,0.013103208054445759,0.034770965576171875,32,295552
fireq,22,12,3.9070292839943472,0.9047534138781302,3.1937765310429,3.9247101785652734,1.0,1.1365282531983212e-05,0.00135597928306197,0.0007858872413635254,32,295552
fireq,10,3,3.9063476369083374,0.6166379667025612,3.3200391729564944,3.9293832172466554,0.71875,0.01398459983296263,0.06225062397972181,-0.04820805788040161,32,295552
fireq,11,26,3.8781968929657125,0.47488396110013126,5.052037854202403,3.8685718817619934,0.875,0.1399760555694236,0.18015442865203113,-0.05723661184310913,32,295552
fireq,24,24,3.8369114797985233,0.8949809724485644,2.9827889132834424,3.854392475895891,1.0,0.0033391364116910956,0.007224783337262416,-0.07554841041564941,32,295552
fireq,22,15,3.8297735928626784,0.929585485457741,2.8064738694928097,3.849233973606543,1.0,1.6482563225395097e-06,0.00107023013606522,0.0007974505424499512,32,295552
fireq,30,26,3.8008852148669776,1.2285021578354136,2.6739063210425593,3.8205870035737797,0.84375,0.36592722217290197,0.2647943019437662,0.2909574508666992,32,295552
fireq,27,6,3.7259509346143003,0.8546069635364766,3.4235588653772115,3.737568913000179,0.59375,0.004234691852161632,0.02629625829285942,-0.07702130079269409,32,295552
fireq,11,23,3.7215814762397743,0.40928644409671144,6.4487713275020475,3.6896905457637534,0.96875,0.07203822809247207,0.10209356451491658,-0.12585017085075378,32,295552
fireq,10,20,3.7146607649273857,0.43784635044337666,4.495781780041177,3.685699305655167,1.0,0.026531840345203506,0.0699473738297911,0.12269061803817749,32,295552
fireq,13,23,3.6829867832464793,0.6262866868249839,2.7027039084860442,3.7035436042244876,0.5625,0.01579987398497451,0.04698749010276515,0.13846677541732788,32,295552
fireq,15,12,3.6817568678197596,0.6632598117089115,3.193569833067121,3.663358719736431,0.9375,0.04611682158602229,0.0916569058357577,0.10546362400054932,32,295552
fireq,15,10,3.6572717179457075,0.566714581807144,2.579041828345295,3.681104849954633,0.90625,0.010351653049218257,0.03348970151773756,-0.03701889514923096,32,295552
fireq,19,9,3.635792292135815,0.8580487738297252,3.3069432670583043,3.6601179479636463,0.96875,0.041382153232220276,0.06274708623459446,-0.3413264751434326,32,295552
fireq,22,8,3.6325293957551366,0.8358255552028536,2.9213702455061936,3.640373077088532,1.0,0.009070221983073286,0.02418840930209945,-0.17043447494506836,32,295552
fireq,20,1,3.631636917251337,0.5137062732212672,3.1909689932376373,3.635275617339419,1.0,0.007691220711926405,0.02642281513544731,0.030008018016815186,32,295552
