layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
7,5,53,106,107,raw_post,20480,isotropic_scatter,axis_like,1.8074498276414865,1.7169004197649054,4.306880551462983,4.607381771482961,5.3018826864362145,7.159801752698538,1.662410105677637,1.5539849111296975,1.350426287442276,5.3018826864362145,0.25949308799815185,0.001025390625,mild_clip,mild_clip
11,0,63,126,127,raw_post,20480,isotropic_scatter,axis_like,1.3585102540791818,1.2557493287739994,3.540932551814669,3.8242075844583474,4.355760996128981,5.87987287944703,1.6605435978817764,1.5375401961292439,1.3499071424425135,4.355760996128981,0.259208305105634,0.001025390625,mild_clip,mild_clip
23,3,58,116,117,raw_post,20480,isotropic_scatter,already_diagonal,2.4359842430524146,2.212276150450003,6.411832637056776,6.951171566883482,7.887413484639944,10.646779584592375,1.6604893151858011,1.5316525397409804,1.3498442303457348,7.887413484639944,0.25917377907829364,0.001025390625,mild_clip,mild_clip
12,3,47,94,95,raw_post,20480,isotropic_scatter,axis_like,1.2604717921179567,1.1903618633155408,3.0135917764671465,3.2422469161308403,3.6096457882852997,4.871112625248763,1.6163810451325298,1.502387927647948,1.3494710869020479,3.6096457882852997,0.2589689325647734,0.001025390625,mild_clip,mild_clip
13,2,46,92,93,raw_post,20480,isotropic_scatter,already_diagonal,2.3232067725742125,2.1580394269258463,5.843028434394348,6.375640808154844,7.406425643227592,9.993590433457848,1.7103443095761215,1.5674644689323496,1.3493135440569703,7.406425643227592,0.2588824114272893,0.001025390625,mild_clip,mild_clip
2,7,32,64,65,raw_post,20480,isotropic_scatter,axis_like,1.344511166026615,1.2359020837148522,3.529192320815878,3.8433279514352106,4.6577142889463214,6.284214284643717,1.7806380931915136,1.6350970731750873,1.349205617776385,4.6577142889463214,0.2588231276059374,0.001025390625,mild_clip,mild_clip
23,7,37,74,75,raw_post,20480,isotropic_scatter,axis_like,1.049051295583523,0.9766493442385382,2.6329468331206773,2.8573946287089473,3.3197829962179233,4.478650145180857,1.7010028796793346,1.5673894323810775,1.34907918688757,3.3197829962179233,0.2587536671534624,0.001025390625,mild_clip,mild_clip
24,7,61,122,123,raw_post,20480,compact_cluster,intermediate,1.1497125465195979,1.0832499688493138,2.732190180045097,2.9380491501314387,3.4164414692873066,4.608893475443422,1.6868860407687096,1.568691754267363,1.349033348551664,3.4164414692873066,0.25872848060160236,0.001025390625,mild_clip,mild_clip
18,1,47,94,95,raw_post,20480,isotropic_scatter,already_diagonal,1.9981595743948124,1.756329164475301,5.7373793974357294,6.299114594058188,7.319636373307626,9.874271009192626,1.7210420167796194,1.5675649111871695,1.3490111401163227,7.319636373307626,0.25871627723269064,0.001025390625,mild_clip,mild_clip
0,1,57,114,115,raw_post,20480,isotropic_scatter,already_diagonal,1.248115088638467,1.4194552030407621,2.706373392827914,2.773683289552742,3.1813586027801826,4.291383588745701,1.5856583574602747,1.547178657674968,1.348915392623601,3.1813586027801826,0.25866366010174346,0.001025390625,mild_clip,mild_clip
18,7,42,84,85,raw_post,20480,isotropic_scatter,already_diagonal,1.6109282245809902,1.431737034367826,4.549328430260212,4.9576120447371474,5.779217301986047,7.795234952307781,1.7134913585172635,1.5723769593030115,1.3488392190459637,5.779217301986047,0.2586217942956154,0.001025390625,mild_clip,mild_clip
