layer,head,pair,dim0,dim1,shape_label,orientation_label,pre_anisotropy,post_anisotropy,post_balance,heuristic_alpha_deg,post_absmax_dim0,post_absmax_dim1,post_residual_gap,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,support_count_234,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,override_priority
1,7,56,112,113,elongated,already_diagonal,0.8274372210124362,0.8268198136127125,0.7454012036323547,0.913738155341386,4.846856117248535,2.5050487518310547,0.4831600750605484,1,1,1,1,3,21.0,4.43001127243042,20.0,25.0,0.024022087454795837,0.4591379910707474,95.02813073296454,high
1,0,48,96,97,elongated,already_diagonal,0.8531937326607669,0.8536338520370461,0.678425133228302,12.81044702166691,1.844727635383606,3.560452461242676,0.48188393035312266,1,1,1,0,2,-31.0625,6.740444660186768,25.0,-40.0,0.03171833977103233,0.45016560330986977,93.41784671880896,high
0,3,60,120,121,elongated,intermediate,0.8384376242613966,0.8383702396482484,0.6144021153450012,-27.44977610717748,3.300436019897461,1.713833212852478,0.48072521251124756,1,1,1,0,2,-15.5,34.82635498046875,85.0,-20.0,0.08099160343408585,0.39973359555006027,83.15220346151297,high
0,4,48,96,97,isotropic_scatter,already_diagonal,0.5681450492634759,0.5679678714841921,0.4318245053291321,9.540791414988842,2.785024404525757,1.4587491750717163,0.47621673522817226,1,0,1,1,2,31.6875,6.069583415985107,20.0,20.0,0.004944608546793461,0.4712721249088645,98.9616894578834,high
0,4,44,88,89,elongated,axis_like,0.8023281069700281,0.7946465280727012,0.4417567253112793,30.54647232697438,1.6655187606811523,0.8812771439552307,0.47086927823328023,1,1,1,1,3,29.875,4.935521602630615,20.0,30.0,0.032351236790418625,0.4385180361568928,93.12946529980124,high
1,4,54,108,109,isotropic_scatter,already_diagonal,0.7068473412304875,0.7065644609868885,0.5176008939743042,-6.320849327457887,4.7523322105407715,2.5242221355438232,0.46884560596478375,1,1,1,0,2,-32.1875,5.960481643676758,25.0,-35.0,0.007678168825805187,0.46116743702441454,98.36232466935861,high
0,0,62,124,125,elongated,already_diagonal,0.8143239001695547,0.8143719947539254,0.7030450105667114,-3.2849020717364117,4.121025562286377,2.1956021785736084,0.4672194711271164,1,1,1,0,2,25.0,7.705517292022705,25.0,30.0,0.006343241315335035,0.4608762306161225,98.64234226173998,high
0,7,43,86,87,elongated,axis_like,0.9409044524595883,0.9212342738209364,0.49421900510787964,38.3964990059262,2.6922249794006348,1.4376564025878906,0.4659969305730335,1,1,1,1,3,26.125,5.360445499420166,20.0,25.0,0.023088714107871056,0.4429082069545984,95.04530758374348,high
10,0,50,100,101,elongated,axis_like,0.7095257857554629,0.708552942474941,0.48646676540374756,-38.77405051271718,6.993688106536865,13.028085708618164,0.4631837506326432,1,1,1,0,2,-15.0625,7.603196144104004,40.0,-25.0,0.006561385001987219,0.45662237564101815,98.58341644083582,high
1,1,61,122,123,elongated,already_diagonal,0.9217975192406862,0.9214275686153085,0.7021260261535645,-10.957901375034725,1.9815553426742554,3.6856558322906494,0.46236017880087543,1,1,1,1,3,28.5,2.5495097637176514,15.0,30.0,0.013597995974123478,0.44876217748969793,97.05900361783918,high
0,0,57,114,115,elongated,already_diagonal,0.8880575982271214,0.8879600023726574,0.693935751914978,-5.192581646951956,3.4983575344085693,1.8830357789993286,0.4617371836702009,1,1,1,1,3,-20.3125,3.096747398376465,15.0,-20.0,0.05304134637117386,0.40869583934545517,88.5126543817665,high
1,0,46,92,93,elongated,already_diagonal,0.9748872763095727,0.9700081734942156,0.7439418435096741,1.5388438630112604,2.4282124042510986,4.490711212158203,0.4592811050336685,1,1,1,0,2,-26.0625,23.962127685546875,85.0,-45.0,0.0036945496685802937,0.455586567055434,99.19557988908123,high
0,6,57,114,115,elongated,intermediate,0.7118221286786622,0.7119483937179724,0.7432578802108765,-18.326009447312906,3.6218886375427246,6.624732494354248,0.4532777526293503,1,1,1,0,2,21.9375,12.66130256652832,85.0,35.0,0.027684040367603302,0.425593726336956,93.89247776945402,high
0,5,44,88,89,elongated,intermediate,0.7249081048051499,0.7165009148782169,0.581425130367279,21.4992032129451,3.4237751960754395,1.8822360038757324,0.45024544659553656,1,1,1,1,3,34.3125,3.8522517681121826,10.0,35.0,0.020001018419861794,0.4302444215863943,95.55775214079151,high
0,5,46,92,93,elongated,intermediate,0.6333859077552507,0.6239115205418283,0.4655553102493286,-24.599746420506055,2.422189235687256,4.324106216430664,0.4398404862296252,1,0,1,1,2,14.5625,4.271544456481934,20.0,20.0,0.034262027591466904,0.40557846799492836,92.21035172175569,high
1,3,45,90,91,elongated,intermediate,0.981292396975022,0.9664333987151413,0.5418927073478699,-23.000992353328016,5.897005081176758,3.325374126434326,0.4360910189735258,1,1,1,1,3,-15.875,3.3330729007720947,15.0,-15.0,0.06645232439041138,0.36963868141174316,84.7618218430858,high
1,5,60,120,121,elongated,already_diagonal,0.8948818345743648,0.8947091359240898,0.6555579304695129,-13.489407120658486,3.0050570964813232,5.327946662902832,0.4359821359690425,1,1,1,1,3,31.5,3.7416574954986572,15.0,35.0,0.005255210679024458,0.43072692723944783,98.79462706795407,high
1,1,50,100,101,elongated,already_diagonal,0.9514560358878251,0.9514881771610282,0.7527076601982117,5.55643182358337,2.038999557495117,3.6090168952941895,0.4350263197288502,1,1,1,0,2,-22.6875,10.751272201538086,80.0,-45.0,0.009120704606175423,0.4259056132286787,97.90341314254972,high
0,7,63,126,127,isotropic_scatter,intermediate,0.8015093410215969,0.8015169351116596,0.5524179339408875,29.234522721045376,2.1672444343566895,3.771482467651367,0.42536006651349817,1,1,1,1,3,35.0,0.0,0.0,35.0,0.007428047247231007,0.4179320065304637,98.25370361385343,high
1,0,59,118,119,elongated,already_diagonal,0.8283813332008653,0.829501050278456,0.7121626138687134,14.10758618830508,3.432147264480591,2.0073559284210205,0.4151311777337717,1,1,1,1,3,-21.4375,2.5241024494171143,10.0,-25.0,0.03253517672419548,0.3825960047543049,92.16267575749896,high
0,7,48,96,97,elongated,intermediate,0.8884187152518063,0.8846374372529189,0.577345073223114,-25.52701790385377,1.4640491008758545,2.490234375,0.4120838120404412,1,1,1,1,3,17.125,2.7128167152404785,10.0,20.0,0.062054987996816635,0.3500288166105747,84.94117281412238,high
17,4,38,76,77,elongated,intermediate,0.7408540836226899,0.6579721484054694,0.5530349016189575,-20.436326142062963,3.722043514251709,6.292486667633057,0.40849401661874796,1,1,1,0,2,-6.5625,32.03117370605469,85.0,40.0,0.04498857632279396,0.36350544914603233,88.98672354603943,high
1,7,51,102,103,elongated,intermediate,0.7222328759511811,0.7199974975102882,0.6490939855575562,-17.70364408533274,1.984340786933899,3.3178985118865967,0.40192842553053887,1,1,1,0,2,23.5625,19.496694564819336,85.0,30.0,0.031639743596315384,0.3702886812388897,92.128015427302,high
19,4,40,80,81,elongated,already_diagonal,0.7019918501960979,0.6757369349175625,0.5170099139213562,9.890232204963516,6.503710746765137,3.9034876823425293,0.39980607466528634,1,1,1,0,2,18.8125,18.745729446411133,85.0,40.0,0.0067975809797644615,0.3930085012689233,98.29978049820257,high
1,3,56,112,113,elongated,already_diagonal,0.9351243332901963,0.9358584859010015,0.7678402662277222,7.767436632115316,2.1766252517700195,3.62076997756958,0.3988501713022195,1,1,1,0,2,-12.875,31.342613220214844,85.0,35.0,0.029867637902498245,0.36898253485560417,92.51156450655154,high
0,2,37,74,75,elongated,already_diagonal,0.9453308642016549,0.7872586635689285,0.5555928945541382,-13.228691437583723,4.626729965209961,2.7899625301361084,0.3969904119940356,1,1,1,0,2,3.25,30.548118591308594,85.0,35.0,0.009385844692587852,0.3876045737415552,97.63575032122725,high
1,5,49,98,99,elongated,intermediate,0.8916189811322444,0.8886657158437616,0.5556177496910095,-25.922269859838895,5.2385358810424805,3.166667938232422,0.39550515446650947,1,1,1,0,2,24.75,24.923633575439453,85.0,-45.0,0.033012036234140396,0.3624931238591671,91.65319708436871,high
31,5,41,82,83,elongated,already_diagonal,0.8707030666899941,0.8431834414697754,0.4526022672653198,10.035962227960633,5.065993309020996,3.0919456481933594,0.3896664563911794,1,1,1,0,2,22.4375,22.693525314331055,85.0,25.0,0.022622274234890938,0.3670441936701536,94.19445189715333,high
0,7,57,114,115,elongated,already_diagonal,0.9703193733141181,0.9701993988070391,0.7494211196899414,11.587414128033243,2.4950778484344482,1.526726245880127,0.3881047652128046,1,1,1,1,3,-13.375,2.341874361038208,5.0,-15.0,0.033757902681827545,0.354346863925457,91.30185826447565,high
0,4,58,116,117,elongated,intermediate,0.7186791704011045,0.7186927660600435,0.5982648134231567,29.61119880293376,2.3883237838745117,1.4777028560638428,0.381280349824844,1,1,1,1,3,-11.25,2.1650636196136475,5.0,-15.0,0.05915877968072891,0.32212158292531967,84.48417870871212,high
27,7,44,88,89,elongated,axis_like,0.7651810725794773,0.7550418262873402,0.5478364825248718,-34.655307107702484,5.95444393157959,9.612812042236328,0.38057210466435526,1,1,1,0,2,-27.125,8.092241287231445,35.0,-25.0,0.034734491258859634,0.34583761915564537,90.87308546571421,high
1,1,49,98,99,elongated,already_diagonal,0.8197623866787843,0.8199961046560903,0.697331964969635,-14.818086845707489,1.9632076025009155,3.1633453369140625,0.3793887819987169,1,1,1,1,3,-14.9375,3.0097498893737793,15.0,-20.0,0.02922465279698372,0.35016412660479546,92.29691166853559,high
1,7,44,88,89,elongated,intermediate,0.8717132289479785,0.8516684037275576,0.4642677903175354,-29.98552752834932,4.186928749084473,6.71914529800415,0.37686587156730267,1,1,1,0,2,-14.8125,6.043785572052002,25.0,-20.0,0.03946802020072937,0.33739784359931946,89.52730294997754,high
0,7,58,116,117,isotropic_scatter,already_diagonal,0.8222996894345536,0.8223577334387677,0.45694082975387573,-10.287294593638606,2.297924757003784,3.6679649353027344,0.37351506965425074,1,1,1,1,3,35.25,1.0897247791290283,5.0,35.0,0.0020013104658573866,0.3715137590188533,99.46419552265499,high
15,2,51,102,103,elongated,already_diagonal,0.7090736714923194,0.7116921523530858,0.7992168068885803,-4.888548436489844,9.92459774017334,15.762063026428223,0.3703490638545992,1,1,1,1,3,-20.75,3.269174098968506,15.0,-25.0,0.019694218412041664,0.3506548311561346,94.68225490655236,high
1,7,60,120,121,elongated,already_diagonal,0.6686077236964688,0.6687958908434275,0.6960808634757996,4.427611630517452,2.8555266857147217,1.8020521402359009,0.3689247769068361,1,0,1,1,2,-20.0625,4.293436050415039,20.0,-25.0,0.034664589911699295,0.33426017686724663,90.60388647410333,high
3,5,41,82,83,elongated,intermediate,0.8886046562268447,0.8557213191252113,0.43680518865585327,29.123669949610843,2.84676194190979,4.504603385925293,0.3680327216365942,1,1,1,0,2,21.9375,8.158345222473145,30.0,20.0,0.0282862801104784,0.339746443554759,92.3141942844714,high
