layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,orig_suggested_alpha_rad,orig_suggested_alpha_deg,override_applied,override_priority,alpha_source,best_global_alpha_deg,refined_best_alpha_deg,refined_best_gap,refine_delta_deg,gap_improvement_vs_coarse,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,global_gap_reduction_pct
0,0,63,126,127,0.12798407671205397,0.5103474052267353,0.9464985941951989,0.8995134830474854,1.504718843516824,-2.369376321957291,0.9230996808911714,0.09665020908645025,0.031333867625603716,0.1279880981493028,0.5102475518753535,0.9464969109086906,0.8999536633491516,1.5047174745838825,-2.366866238158551,0.9254489154664054,0.09664685594983863,0.031341242199464166,0.0025100837987399598,0.0023492345752339494,compact_cluster,post,post_mean,already_diagonal,-2.366866238158551,-135.61144611849093,0.01067174796620618,0.611446118490934,0.7747264154312428,44.388553881509104,-2.356194490192345,-135.0,-0.1745329252,-10.0000000000,0.01067174796620618,0.611446118490934,1,high,refined_best,-10.0,-10.0,0.0021476855035871267,0.0,0.0,0.25949496872475325,2,1,0,1,1,3.5438106060028076,10.0,99.17235945505941
0,1,49,98,99,0.8212328440962449,0.40520007822414866,0.735402874283453,0.5862802267074585,1.5107870565390464,1.0848956486743853,2.3816058549352013,0.5769982283823443,0.24423461571390062,0.8238800553948031,0.4054986280511444,0.7345499533928864,0.5600427389144897,1.5099106888572948,1.1293673124172692,2.428198744252989,0.578981143768251,0.24489891162655203,0.044471663742883916,0.04659288931778782,isotropic_scatter,post,post_mean,intermediate,1.1293673124172692,64.70798052154221,0.3439691490198209,19.707980521542215,0.4414290143776274,25.292019478457785,0.7853981633974483,45.0,-0.1745329252,-10.0000000000,-0.3439691490198209,-19.707980521542215,1,medium,refined_best,-10.0,-10.0,0.00542784109711647,0.0,0.0,0.2729658045614079,1,1,0,1,0,23.319787979125977,85.0,98.0115308487749
0,1,52,104,105,0.6913777503528176,0.4006146440271601,0.782209880969085,0.6004944443702698,1.5757969744492073,2.0641508601250633,-2.8059594153195397,0.4841769008495555,0.20720084950326212,0.6921335653910607,0.4012728770792564,0.7819718002939594,0.6064651608467102,1.575557172127248,2.088128527188617,-2.7819495612012544,0.48493399624952827,0.20719956914153242,0.023977667063553643,0.02400985411828538,isotropic_scatter,post,post_mean,intermediate,2.088128527188617,119.64095168877633,0.26806596300372787,15.359048311223676,0.5173322003937204,29.640951688776326,2.356194490192345,135.0,-0.6283185307,-36.0000000000,0.26806596300372787,15.359048311223676,1,medium,refined_best,-35.0,-36.0,0.000766036391723901,-1.0,0.02260454435599968,0.3877064934918378,1,1,0,1,0,9.888242721557617,70.0,93.97209449707059
0,1,57,114,115,1.031758958291035,0.41537897162969906,0.5385624271093291,0.6147023439407349,1.0973639092032532,-2.5031096925445695,0.8106850644875524,0.730164966678055,0.3015939916129799,1.0317347975415234,0.4154084029123645,0.538573262122044,0.6150059700012207,1.097374982835871,-2.49454206211475,0.8193828391152312,0.7301630510088875,0.301571746532636,0.008567630429819673,0.008697774627678845,isotropic_scatter,post,post_mean,already_diagonal,-2.49454206211475,-142.9267319770364,0.13834757192240502,7.926731977036416,0.6470505914750435,37.073268022963596,-2.356194490192345,-135.0,0.7155849933,41.0000000000,0.13834757192240502,7.926731977036416,1,medium,refined_best,40.0,41.0,0.0011281537590548396,1.0,0.0128608524100855,0.25837529843156054,1,1,0,1,0,18.942346572875977,85.0,94.58578011522053
0,1,62,124,125,0.572931814801421,0.42345824259493076,0.8320555626576921,0.7418808937072754,1.684786298453031,-2.4523081852398,-2.8813985625700815,0.40777225711218923,0.1651595576892317,0.5729459079776767,0.42340048403054703,0.8320514271607535,0.7432453036308289,1.6847820897964056,-2.4492280098116166,-2.878499108140645,0.4077657413695849,0.1651801666080919,0.003080175428183285,0.00289945442943651,compact_cluster,post,post_mean,already_diagonal,-2.4492280098116166,-140.33042802743182,0.09303351961927177,5.330428027431814,0.6923646437781773,39.66957197256823,-2.356194490192345,-135.0,0.3141592654,18.0000000000,0.09303351961927177,5.330428027431814,1,high,refined_best,20.0,18.0,0.005231397692114115,-2.0,0.03312516724690795,0.3174561785294682,2,1,0,1,1,3.7893764972686768,20.0,87.91752479472989
0,2,37,74,75,2.1433519031818853,0.9453308642016549,0.07416382474336204,0.4681764841079712,0.41435799882104224,2.056051547576415,3.031121803371462,2.084764305053012,0.05858759812887347,2.161432040591464,0.7872586635689285,0.06635382235440718,0.5555928945541382,0.3919336965679554,2.5870787115085627,-2.736930602781911,1.9315190701316745,0.2299129704597893,0.5310271639321478,0.5151329010262133,elongated,post,post_mean,already_diagonal,2.5870787115085627,148.22869143758373,0.2308842213162179,13.228691437583723,0.5545139420812304,31.771308562416277,2.356194490192345,135.0,0.6283185307,36.0000000000,-0.2308842213162179,-13.228691437583723,1,high,refined_best,35.0,36.0,0.0012665939284488559,1.0,0.008119250764138997,0.3969904119940356,2,1,1,1,0,30.548118591308594,85.0,97.63575032122725
0,2,42,84,85,1.3824741173854318,0.8300527233012057,0.6501479345607105,0.4132108688354492,1.6028481382122968,-1.5665985101246986,1.1170723060877048,1.2650002617077352,0.11747385567769669,1.4107807601786555,0.782671369468897,0.6429845624626633,0.4177427291870117,1.5939934750677143,-1.3801324799151393,1.2923226817351376,1.257479234884419,0.15330152529423643,0.18646603020955932,0.17525037564743284,elongated,post,post_mean,axis_like,-1.3801324799151393,-79.07576626806134,0.594734316517691,34.075766268061344,0.19066384687975724,10.92423373193866,-0.7853981633974483,-45.0,0.2443460953,14.0000000000,0.594734316517691,34.075766268061344,1,high,refined_best,15.0,14.0,0.0018425792222842574,-1.0,0.023569987737573683,0.29012561669717707,3,1,1,1,1,6.775126934051514,20.0,91.24083975346687
0,2,48,96,97,1.7909373874569718,0.7029339149580399,0.21217698268735907,0.6116623282432556,0.6945044029994238,1.9819347793163224,2.7525112490783843,1.524924008333764,0.2660133791232077,1.791857450101483,0.7017140869914715,0.21177223953756702,0.5981873273849487,0.6938416720873968,2.036685077151844,2.8073589566345083,1.5246145323595066,0.2672429177419764,0.05475029783552143,0.054847707556124004,elongated,post,post_mean,intermediate,2.036685077151844,116.6934591180771,0.31950941304050096,18.306540881922892,0.4658887503569474,26.69345911807711,2.356194490192345,135.0,0.5759586532,33.0000000000,0.31950941304050096,18.306540881922892,1,high,refined_best,35.0,33.0,0.0014681419124826789,-2.0,0.04818776121828705,0.5163784534918506,2,1,1,1,0,15.193414688110352,80.0,90.38381598872405
0,2,56,112,113,1.7155296624091623,0.48365077881665075,0.5044204441785571,0.4449559450149536,1.3214135775718796,0.9239107207872467,2.4373740279853293,1.2726234598584516,0.44290620255071067,1.7156766119379423,0.48351355011909125,0.504378028857255,0.44749200344085693,1.3213580663601656,0.9345039889736314,2.4480126131295687,1.2726147507164174,0.44306186122152486,0.01059326818638473,0.010638585144239432,elongated,post,post_mean,already_diagonal,0.9345039889736314,53.543134506329096,0.14910582557618313,8.5431345063291,0.6362923378212652,36.456865493670904,0.7853981633974483,45.0,0.4363323130,25.0000000000,-0.14910582557618313,-8.5431345063291,1,medium,refined_best,25.0,25.0,0.0015660792123526335,0.0,0.0,0.33043420324270006,1,1,0,1,0,20.121118545532227,85.0,99.52605414408274
0,2,58,116,117,1.826529179004098,0.37422540281247657,0.4713117935111244,0.5461949110031128,1.276049875511636,2.082957437053414,0.9020853484459261,1.2550313983830115,0.5714977806210865,1.8265030553622,0.374182787222575,0.47131938054020744,0.5443762540817261,1.2760601770303235,2.0899788282731704,0.9090944357641083,1.2549745297442756,0.5715285256179242,0.007021391219756534,0.007009087318182172,isotropic_scatter,post,post_mean,intermediate,2.0899788282731704,119.74696613174972,0.26621566191917445,15.253033868250286,0.5191825014782738,29.746966131749716,2.356194490192345,135.0,0.4014257280,23.0000000000,0.26621566191917445,15.253033868250286,1,medium,refined_best,25.0,23.0,0.005333879962563515,-2.0,0.01634349673986435,0.29184954840658944,1,1,0,1,0,8.52844524383545,50.0,92.57241395912894
