layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,1,46,92,93,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.052243418991565704,0.052243418991565704,-22.0,-0.3839724354387525,0.005995352286845446,0.49920371174812317,-2.0,0.04624806670472026,88.52419615222091,0.4932083594612777,98.79901688514079,0.4992037221420082,3,1,1,1,1
1,7,56,112,113,high,5.0,0.5,21,20.0,30.0,25.0,0.4363323129985824,0.024022087454795837,0.024022087454795837,26.0,0.4537856055185257,0.0018725796835497022,0.4831600785255432,1.0,0.022149507771246135,92.20475869520718,0.4812874988419935,99.61243079327575,0.4831600750605484,3,1,1,1,1
15,1,51,102,103,high,5.0,0.5,21,-45.0,-35.0,-40.0,-0.6981317007977318,0.045764971524477005,0.045764971524477005,-37.5,-0.6544984694978736,0.0021309289149940014,0.48329243063926697,2.5,0.043634042609483004,95.34375561917635,0.48116150172427297,99.55908084217761,0.4832924172644105,2,1,1,1,0
1,0,48,96,97,high,5.0,0.5,21,-45.0,-35.0,-40.0,-0.6981317007977318,0.03171833977103233,0.03171833977103233,-39.0,-0.6806784082777885,0.0010477621108293533,0.4818839430809021,1.0,0.03067057766020298,96.69666786347294,0.48083618097007275,99.78256961538695,0.48188393035312266,2,1,1,1,0
1,1,62,124,125,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.03905994072556496,0.03905994072556496,41.0,0.7155849933176751,0.004914067219942808,0.48572373390197754,1.0,0.03414587350562215,87.41916365293785,0.48080966668203473,98.98829995798918,0.485723736866648,3,1,1,1,1
0,3,60,120,121,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.08099160343408585,0.08099160343408585,-17.5,-0.30543261909900765,0.0027876405511051416,0.4807251989841461,2.5,0.0782039628829807,96.55811166478037,0.477937558433041,99.42011765620028,0.48072521251124756,2,1,1,1,0
0,4,48,96,97,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.004944608546793461,0.004944608546793461,20.0,0.3490658503988659,0.004944608546793461,0.47621673345565796,0.0,0.0,0.0,0.4712721249088645,98.9616894578834,0.47621673522817226,2,1,0,1,1
0,4,44,88,89,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.032351236790418625,0.032351236790418625,31.5,0.5497787143782138,0.0020312839187681675,0.4708692729473114,1.5,0.030319952871650457,93.72115529329696,0.46883798902854323,99.56860979565437,0.47086927823328023,3,1,1,1,1
1,4,54,108,109,high,5.0,0.5,21,-40.0,-30.0,-35.0,-0.6108652381980153,0.007678168825805187,0.007678168825805187,-34.5,-0.6021385919380436,0.0030262188520282507,0.4688456058502197,0.5,0.0046519499737769365,60.586711223936916,0.4658193869981915,99.35453829271997,0.46884560596478375,2,1,1,1,0
0,7,43,86,87,high,5.0,0.5,21,20.0,30.0,25.0,0.4363323129985824,0.023088714107871056,0.023088714107871056,26.0,0.4537856055185257,0.0007074303575791419,0.4659969210624695,1.0,0.022381283750291914,96.9360339676172,0.46528949070489034,99.84818990735685,0.4659969305730335,3,1,1,1,1
0,0,62,124,125,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.006343241315335035,0.006343241315335035,30.0,0.5235987755982988,0.006343241315335035,0.4672194719314575,0.0,0.0,0.0,0.4608762306161225,98.64234226173998,0.4672194711271164,2,1,1,1,0
0,0,57,114,115,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.05304134637117386,0.05304134637117386,-22.0,-0.3839724354387525,0.0019003915367648005,0.46173718571662903,-2.0,0.05114095483440906,96.41715064420461,0.45983679417986423,99.58842571151914,0.4617371836702009,3,1,1,1,1
