layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
0,0,62,124,125,256,80,0.4672194719314575,30.0,0.006343241315335035,0.4608762306161225,98.64234226173998,25.0,7.705517292022705,10.0,35.0,25.0,0.028362970799207687,0.01993066817522049,0
0,0,63,126,127,256,80,0.25949496030807495,-10.0,0.0021476855035871267,0.2573472748044878,99.17235945505941,-5.9375,3.5438106060028076,-10.0,0.0,10.0,0.04239250719547272,0.04567219316959381,1
0,1,49,98,99,256,80,0.27296581864356995,-10.0,0.00542784109711647,0.2675379775464535,98.0115308487749,9.25,23.319787979125977,-45.0,40.0,85.0,0.01419372670352459,0.013213932514190674,0
0,1,52,104,105,256,80,0.3877064883708954,-35.0,0.02337058074772358,0.3643359076231718,93.97209449707059,-5.1875,9.888242721557617,-40.0,30.0,70.0,0.021872948855161667,0.020604658871889114,0
0,1,57,114,115,256,80,0.25837528705596924,40.0,0.013989006169140339,0.2443862808868289,94.58578011522053,-4.25,18.942346572875977,-45.0,40.0,85.0,0.01498052291572094,0.011984549462795258,0
0,1,62,124,125,256,80,0.3174561858177185,20.0,0.038356564939022064,0.27909962087869644,87.91752479472989,10.125,3.7893764972686768,0.0,20.0,20.0,0.039617374539375305,0.038614772260189056,1
0,2,37,74,75,256,80,0.39699041843414307,35.0,0.009385844692587852,0.3876045737415552,97.63575032122725,3.25,30.548118591308594,-45.0,40.0,85.0,0.040484968572854996,0.041402511298656464,0
0,2,42,84,85,256,80,0.29012560844421387,15.0,0.02541256695985794,0.2647130414843559,91.24083975346687,14.1875,6.775126934051514,5.0,25.0,20.0,0.041189104318618774,0.047039590775966644,1
0,2,48,96,97,256,80,0.5163784623146057,35.0,0.04965590313076973,0.466722559183836,90.38381598872405,-35.3125,15.193414688110352,-40.0,40.0,80.0,0.03826054185628891,0.03817141428589821,0
0,2,56,112,113,256,80,0.3304342031478882,25.0,0.0015660792123526335,0.32886812393553555,99.52605414408274,19.125,20.121118545532227,-45.0,40.0,85.0,0.013451178558170795,0.006343679502606392,0
0,2,58,116,117,256,80,0.2918495535850525,25.0,0.021677376702427864,0.2701721768826246,92.57241395912894,-11.875,8.52844524383545,-35.0,15.0,50.0,0.022275269031524658,0.01960749737918377,0
0,3,45,90,91,256,80,0.3284739553928375,20.0,0.029329245910048485,0.29914470948278904,91.07105892917073,-8.5,32.7910041809082,-45.0,40.0,85.0,0.022074420005083084,0.019573748111724854,0
0,3,46,92,93,256,80,0.30623549222946167,-15.0,0.02798069640994072,0.27825479581952095,90.86301323003578,-19.25,10.84262466430664,-30.0,15.0,45.0,0.027946049347519875,0.030422132462263107,0
0,3,55,110,111,256,80,0.538382351398468,35.0,0.06854874640703201,0.469833604991436,87.26764608294197,3.5,39.7444953918457,-45.0,40.0,85.0,0.028575163334608078,0.027089934796094894,0
0,3,56,112,113,256,80,0.30308815836906433,35.0,0.012012100778520107,0.2910760575905442,96.03676341459266,12.75,8.287792205810547,-25.0,30.0,55.0,0.020483186468482018,0.014989703893661499,0
0,3,57,114,115,256,80,0.28952714800834656,-15.0,0.05292550474405289,0.23660164326429367,81.72002000222544,-14.75,5.471517086029053,-20.0,5.0,25.0,0.049784738570451736,0.055624641478061676,0
0,3,58,116,117,256,80,0.26436707377433777,10.0,0.06705541163682938,0.1973116621375084,74.6354904642673,8.0,8.463155746459961,-15.0,30.0,45.0,0.018630456179380417,0.015502739697694778,0
0,3,60,120,121,256,80,0.4807251989841461,-20.0,0.08099160343408585,0.39973359555006027,83.15220346151297,-15.5,34.82635498046875,-45.0,40.0,85.0,0.019013816490769386,0.013375394977629185,0
