layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
0,0,62,124,125,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.006343241315335035,0.006343241315335035,30.0,0.5235987755982988,0.006343241315335035,0.4672194719314575,0.0,0.0,0.0,0.4608762306161225,98.64234226173998,0.4672194711271164,2,1,1,1,0
0,0,57,114,115,high,10.0,1.0,21,-30.0,-10.0,-20.0,-0.3490658503988659,0.05304134637117386,0.05304134637117386,-22.0,-0.3839724354387525,0.0019003915367648005,0.46173718571662903,-2.0,0.05114095483440906,96.41715064420461,0.45983679417986423,99.58842571151914,0.4617371836702009,3,1,1,1,1
10,0,50,100,101,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.006561385001987219,0.006561385001987219,-25.0,-0.4363323129985824,0.006561385001987219,0.46318376064300537,0.0,0.0,0.0,0.45662237564101815,98.58341644083582,0.4631837506326432,2,1,1,1,0
1,0,46,92,93,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.0036945496685802937,0.0036945496685802937,-45.0,-0.7853981633974483,0.0036945496685802937,0.4592811167240143,0.0,0.0,0.0,0.455586567055434,99.19557988908123,0.4592811050336685,2,1,1,1,0
1,1,61,122,123,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.013597995974123478,0.013597995974123478,30.0,0.5235987755982988,0.013597995974123478,0.4623601734638214,0.0,0.0,0.0,0.44876217748969793,97.05900361783918,0.46236017880087543,3,1,1,1,1
0,6,57,114,115,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.027684040367603302,0.027684040367603302,36.0,0.6283185307179586,0.008789495564997196,0.4532777667045593,1.0,0.018894544802606106,68.25067638868592,0.44448827113956213,98.06090300239102,0.4532777526293503,2,1,1,1,0
0,5,44,88,89,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.020001018419861794,0.020001018419861794,34.0,0.5934119456780721,0.006972001399844885,0.4502454400062561,-1.0,0.013029017020016909,65.14176801656552,0.4432734386064112,98.45151093595796,0.45024544659553656,3,1,1,1,1
0,5,46,92,93,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.034262027591466904,0.034262027591466904,21.0,0.3665191429188092,0.004362932872027159,0.43984049558639526,1.0,0.029899094719439745,87.26598167496145,0.4354775627143681,99.00806476079232,0.4398404862296252,2,1,0,1,1
1,1,50,100,101,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.009120704606175423,0.009120704606175423,44.0,0.767944870877505,0.0027127841021865606,0.4350263178348541,-1.0,0.006407920503988862,70.25685822178919,0.43231353373266757,99.37640919848523,0.4350263197288502,2,1,1,1,0
1,5,60,120,121,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.005255210679024458,0.005255210679024458,35.0,0.6108652381980153,0.005255210679024458,0.4359821379184723,0.0,0.0,0.0,0.43072692723944783,98.79462706795407,0.4359821359690425,3,1,1,1,1
