layer,head,pair,dim0,dim1,pre_absmax_dim0,pre_absmax_dim1,pre_residual_gap,post_absmax_dim0,post_absmax_dim1,post_residual_gap,residual_improvement
0,1,52,104,105,4.7265625,2.91015625,0.384297520661157,4.7324981689453125,2.8976778984069824,0.3877064934918378,-0.0034089728306807565
0,1,53,106,107,2.814453125,3.4765625,0.1904494382022472,2.7930753231048584,3.4822421073913574,0.1979089227666518,-0.007459484564404623
0,1,54,108,109,4.3515625,3.58984375,0.17504488330341114,4.345253944396973,3.5853676795959473,0.17487729705207855,0.00016758625133259097
0,1,55,110,111,4.27734375,3.779296875,0.11643835616438356,4.276686668395996,3.7777414321899414,0.11666630616013492,-0.00022794999575136143
0,1,56,112,113,3.28125,2.939453125,0.10416666666666667,3.305190324783325,2.928194761276245,0.1140616807087484,-0.009895014042081735
0,1,57,114,115,3.0859375,4.15625,0.2575187969924812,3.078123092651367,4.150513172149658,0.25837529843156054,-0.000856501439079338
0,1,58,116,117,3.671875,4.07421875,0.0987535953978907,3.670654058456421,4.073798179626465,0.09896025855826984,-0.00020666316037913635
0,1,59,118,119,2.609375,2.525390625,0.03218562874251497,2.6045279502868652,2.5306074619293213,0.0283815300770346,0.0038040986654803675
0,1,60,120,121,3.728515625,3.08203125,0.17338920900995286,3.729327440261841,3.0846025943756104,0.1728796562419747,0.0005095527679781497
0,1,61,122,123,3.08984375,3.609375,0.14393939393939395,3.0828750133514404,3.6177818775177,0.14785492389421775,-0.003915529954823804
0,1,62,124,125,4.0546875,2.75390625,0.3208092485549133,4.0459885597229,2.7615644931793213,0.3174561785294682,0.0033530700254450485
0,1,63,126,127,4.03515625,3.642578125,0.09728944820909971,4.031349182128906,3.6530303955078125,0.09384421183314819,0.003445236375951524
0,2,32,64,65,2.216796875,5.0703125,0.562788906009245,5.160431861877441,5.150821208953857,0.0018623737665412147,0.5609265322427038
0,2,33,66,67,3.29296875,6.70703125,0.5090273733255678,7.421731948852539,7.4217000007629395,4.304667673230749e-06,0.5090230686578946
0,2,34,68,69,3.310546875,2.6796875,0.1905604719764012,3.110865831375122,4.231221675872803,0.2647830651100494,-0.07422259313364821
0,2,35,70,71,2.66796875,2.744140625,0.027758007117437724,2.630734443664551,3.1118080615997314,0.15459617316110053,-0.1268381660436628
0,2,36,72,73,6.1875,1.26953125,0.7948232323232324,5.952199935913086,5.230711936950684,0.12121367002631168,0.6736095622969207
0,2,37,74,75,4.3046875,2.21875,0.484573502722323,4.626729965209961,2.7899625301361084,0.3969904119940356,0.0875830907282874
0,2,38,76,77,8.6875,2.74609375,0.6839028776978417,8.684216499328613,8.25406265258789,0.04953283313169108,0.6343700445661506
0,2,39,78,79,9.7890625,4.125,0.578611332801277,9.787704467773438,9.330851554870605,0.04667620629607746,0.5319351265051995
0,2,40,80,81,4.109375,2.044921875,0.5023764258555133,4.062076091766357,3.508814811706543,0.13620160419477365,0.36617482166073967
0,2,41,82,83,3.21875,5.8984375,0.4543046357615894,4.979336738586426,5.695262432098389,0.12570547925535785,0.32859915650623156
0,2,42,84,85,2.353515625,4.05859375,0.42011549566891243,2.8799195289611816,4.056942462921143,0.29012561669717707,0.12998987897173536
0,2,43,86,87,2.779296875,2.09375,0.2466619817287421,2.7446422576904297,2.077951431274414,0.24290627477878474,0.0037557069499573603
0,2,44,88,89,3.353515625,2.84375,0.15200931857891672,3.3223695755004883,3.4500393867492676,0.037005319921600575,0.11500399865731614
0,2,45,90,91,3.16015625,2.865234375,0.09332509270704574,3.1214005947113037,3.207066774368286,0.02671169192411236,0.06661340078293337
0,2,46,92,93,3.330078125,2.439453125,0.26744868035190617,3.459188222885132,2.4893641471862793,0.28036175345496867,-0.0129130731030625
0,2,47,94,95,4.1796875,3.611328125,0.13598130841121495,4.379560470581055,3.6127333641052246,0.1750922522081518,-0.03911094379693686
0,2,48,96,97,5.36328125,2.62890625,0.5098324836125273,5.336626052856445,2.5809073448181152,0.5163784534918506,-0.006545969879323321
